freq_bin,p1_mean,p1_sem,p2_mean,p2_sem,p3_mean,p3_sem
"[1e-06, 1.32e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.32e-06, 1.74e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.74e-06, 2.29e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.29e-06, 3.02e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.02e-06, 3.98e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.98e-06, 5.25e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[5.25e-06, 6.92e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[6.92e-06, 9.12e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[9.12e-06, 1.2e-05)",0.0,0.0,0.0,0.0,0.21301923176002532,0.0005918483043961843
"[1.2e-05, 1.58e-05)",0.0,0.0,0.20112292277186702,0.0006388663052985066,0.0,0.0
"[1.58e-05, 2.09e-05)",0.0,0.0,0.0,0.0,0.08841147955037398,0.0003947267917761374
"[2.09e-05, 2.75e-05)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.75e-05, 3.63e-05)",0.13220758046532574,0.0006772383662738079,0.08231583959596778,0.0004378887196237307,0.06103231339898233,0.0003326235303642526
"[3.63e-05, 4.79e-05)",0.0,0.0,0.0576515187485581,0.0003747647931020583,0.04461110692494432,0.0002916682221365276
"[4.79e-05, 6.31e-05)",0.0,0.0,0.042828265672607724,0.00030651655778815155,0.06382345046238268,0.0003447689134353007
"[6.31e-05, 8.32e-05)",0.05614768864556563,0.00045404657933372725,0.03341942152048129,0.0002773925128165068,0.0449126718215572,0.0002885207908478238
"[8.32e-05, 0.00011)",0.04011947851018704,0.000376960730676114,0.05074953000004204,0.0003631434012444704,0.03437938404510501,0.0002571379044463748
"[0.00011, 0.000145)",0.02925631170212499,0.00034222168513376757,0.05320309824085972,0.0003484874965845841,0.05031405449795511,0.0002980793451875991
"[0.000145, 0.000191)",0.023577751227975546,0.0002965322711864336,0.03839583204909053,0.0002934181132675253,0.03604802462431538,0.0002591780802485019
"[0.000191, 0.000251)",0.03656863144121856,0.0003699825306032553,0.046268071025181864,0.00034228961328908734,0.039380364025116035,0.0002689652970493094
"[0.000251, 0.000331)",0.027561149693585137,0.00032152880492487856,0.03354172558597781,0.0002739123676121573,0.03728388397375878,0.0002711889902282248
"[0.000331, 0.000437)",0.03206818028327433,0.0003390650097771978,0.039415147428807154,0.0003078692532236675,0.03236936525467019,0.0002456999273285481
"[0.000437, 0.000575)",0.03321754806619602,0.00037078763384757385,0.03440519685105744,0.0002939572744025606,0.03198252222237209,0.0002460574866260262
"[0.000575, 0.000759)",0.03109186937127825,0.00035791130180887675,0.030901762916797512,0.0002716752525510161,0.02786297175765272,0.00022699734982417524
"[0.000759, 0.001)",0.03358882274707946,0.0003604819617569068,0.02890782460187705,0.0002714255982133221,0.024514194548923392,0.00022042535270575732
"[0.001, 0.00132)",0.03549027698960707,0.00035674173155341983,0.026216938519290453,0.000255976969973442,0.022930782560582105,0.00021636203863778926
"[0.00132, 0.00174)",0.032803154584556564,0.00035106432352505467,0.023897893631811558,0.00023703725973067593,0.01881236489694102,0.00019093423295368772
"[0.00174, 0.00229)",0.03262028924658831,0.0003534771513624686,0.021124959259700708,0.00022944257884820358,0.016151119377844848,0.00017674545625341964
"[0.00229, 0.00302)",0.03274447884997485,0.00033768230797169194,0.018621954841111354,0.00020213135866113712,0.013874410037839131,0.00015521357530242396
"[0.00302, 0.00398)",0.03238531339012782,0.00035932207879522195,0.016104251284801373,0.00018963586761859013,0.01173354177012538,0.0001497512986576774
"[0.00398, 0.00525)",0.031269500818487304,0.0003403954012883008,0.013338533833219346,0.0001802347295821806,0.009538250809428783,0.00012749565280656983
"[0.00525, 0.00692)",0.03236467250430427,0.0003412351345307213,0.011502797487002944,0.00015761423928586707,0.007776525347169593,0.00012151793052989632
"[0.00692, 0.00912)",0.030976816394494386,0.00035682427666455617,0.009376550108998408,0.0001420851799740825,0.006627340766839911,0.00010937855603978413
"[0.00912, 0.012)",0.02972471118724726,0.0003231778816719693,0.008079153624811295,0.00013483034758602301,0.005267853820183912,0.00010879841124050569
"[0.012, 0.0158)",0.027771202157675912,0.00034062592293772093,0.006590257524110744,0.00012573614270734867,0.004139413981740337,9.242298474969726e-05
"[0.0158, 0.0209)",0.026465008012047556,0.0003089288932440017,0.0052463116339682234,0.00010800640924957136,0.0034350930155784614,8.647288143512692e-05
"[0.0209, 0.0275)",0.023253191870553105,0.0003045783210973414,0.004425446816228013,9.939986835240561e-05,0.0028725792246108127,7.372224919770431e-05
"[0.0275, 0.0363)",0.021300047511823347,0.00029661845013023675,0.003837201439008408,9.319674192934059e-05,0.002471436270495578,6.883155646795236e-05
"[0.0363, 0.0479)",0.019361008373269237,0.00027160397597029187,0.003990747547294394,9.686316973298507e-05,0.002399804523124849,6.708145381745591e-05
"[0.0479, 0.0631)",0.0162929033576728,0.0002477005729053615,0.0037899387959756457,8.980813570974375e-05,0.002332830595645504,6.443224836198901e-05
"[0.0631, 0.0832)",0.014000264428757417,0.00023773048242525249,0.0036832357290864696,9.009507026022961e-05,0.0024325088330174826,6.745900974328449e-05
"[0.0832, 0.11)",0.011905038853028807,0.00021523144575777176,0.003508877069889892,8.920838187981132e-05,0.0024929383216618756,6.925736436588226e-05
"[0.11, 0.145)",0.010000727562728393,0.00020745763523915121,0.0038403934918261103,9.415536555762639e-05,0.0027923196992930706,7.43606905742339e-05
"[0.145, 0.191)",0.008218218180798452,0.00018500624834610167,0.003792530186754105,9.503365107707485e-05,0.0029106394685481946,7.762627495516089e-05
"[0.191, 0.251)",0.007121676175764244,0.00016601371080014713,0.003877274052134222,9.551672789356867e-05,0.0030630841429758558,7.821163873354726e-05
"[0.251, 0.331)",0.00639381141916763,0.00015797020748400072,0.0038582722159125607,9.517730999450778e-05,0.0028721772177090783,7.614662013418337e-05
"[0.331, 0.437)",0.005524915328385915,0.0001491316835894952,0.003475935668025286,9.107847844207191e-05,0.0028447026306428623,7.666476005013953e-05
"[0.437, 0.575)",0.004856450280078055,0.00014040753330991394,0.0033681463101361926,9.232709545513082e-05,0.0027540001084649,7.360115276843205e-05
"[0.575, 0.759)",0.0043612316674348645,0.00013068279386288604,0.0031541458350287667,8.581068511650184e-05,0.002582038140598201,7.212961888115302e-05
"[0.759, 1.0)",0.02739007870161556,0.0003132168759918554,0.018172096084700714,0.00020459042229006613,0.014947225570803873,0.0001614148228172476
