freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.057087663422363516,0.0002841939770092638,,,,,0.02686128001840524,0.00019207096177180892,,,,,0.014181755054020919,0.0001371092722327876
"[1.2e-05, 1.58e-05)",,,0.05681902945621981,0.00033972620372245166,,,,,0.02685098791531697,0.00022314954764795993,,,,,0.014260651394101096,0.00015614997064594238,,
"[1.58e-05, 2.09e-05)",,,,,0.046775772074253166,0.0003555692526566394,,,,,0.020098830349327662,0.0002082808903530587,,,,,0.009652060219730077,0.00013026920505774644
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.05669980314061303,0.000488508556945593,0.04719966887703115,0.0004139536838850739,0.04214273081379411,0.00038819923669373697,0.026823082271834848,0.000325859662883507,0.020478669822579933,0.00024218744728225186,0.01735040971107914,0.00021835232577872856,0.014257745968858704,0.0002326250868767722,0.009958563944724616,0.00015209288196325662,0.00799088996451754,0.0001317850236848304
"[3.63e-05, 4.79e-05)",,,0.04100913357320383,0.00045458407026655116,0.038530543092878886,0.00047156093535165344,,,0.016912208747349756,0.00026086197760219416,0.01520120939373078,0.0002533092497517966,,,0.007847024303698026,0.0001613528151148369,0.006689085861373679,0.0001436813230046306
"[4.79e-05, 6.31e-05)",,,0.03798277772337437,0.0004633596278581364,0.033473292051046544,0.00031044285981461026,,,0.015037686289878983,0.0002561351500929831,0.012415450040104721,0.00015776915101655754,,,0.0066831237323956415,0.00015483577092470727,0.005143954578855326,8.538139484893756e-05
"[6.31e-05, 8.32e-05)",0.046619462047452404,0.0006393988350300602,0.03488168826475383,0.0005383600704485198,0.02884680147732559,0.000327076197039217,0.020059775362112214,0.00039021879497501335,0.013262823548628596,0.0002798037493212511,0.010038960472236475,0.0001573872884520107,0.009652941466121725,0.00025159920810213267,0.005630828029813267,0.00015399452387400412,0.0039033516012192547,8.179195403615879e-05
"[8.32e-05, 0.00011)",0.040800240975427476,0.0007446666192974207,0.030431197708066942,0.0003545623681118274,0.02564982824694869,0.00035228849423037215,0.016665448816739946,0.00041867281235747077,0.010910451530122475,0.00017670816927748111,0.008483752098893883,0.00015824067469445092,0.007632781867841656,0.00024718057269502335,0.004375845877464913,9.425518654537216e-05,0.0031238102845603894,7.535104851428478e-05
"[0.00011, 0.000145)",0.034760150002598605,0.0007068966220372847,0.02594386130276674,0.00032346473629382927,0.023031886267895294,0.00026152064266406764,0.013312279382066455,0.0003749723107348284,0.00871958396621498,0.00015019974784622744,0.007220703982503809,0.00011058504819571229,0.005714921985326789,0.0002136691777385277,0.0032747269862052476,7.405807639193869e-05,0.002520213331391532,4.9408312997057626e-05
"[0.000145, 0.000191)",0.032229575855235934,0.0007324236434480485,0.022907852448816126,0.0003175819639886408,0.019713035818051602,0.0002523698252243939,0.011927175284842974,0.00036346899992649223,0.0072291502827456396,0.00013830152755993366,0.005767207169156745,0.0001001744084909744,0.004940921834038574,0.0001930425969535522,0.0025497121854224634,6.527587966318684e-05,0.001879368808641616,4.2165462147670434e-05
"[0.000191, 0.000251)",0.028636370032995614,0.0005395091660840049,0.01968161235086138,0.0002562583859807392,0.01736481931136217,0.000223406311557599,0.010039264173330025,0.0002604642932149207,0.00587649254796456,0.00010476234468879688,0.004799211621457543,8.338327822840009e-05,0.00394217798800408,0.00013312633188775606,0.001965511961610668,4.6215028847874675e-05,0.0014750229114088782,3.325778821392549e-05
"[0.000251, 0.000331)",0.025170751761672296,0.0005756285168738577,0.016552800564561706,0.00027480800588476054,0.01508285809054039,0.00019118852746476982,0.008389887822310682,0.000273949613555712,0.0045512863116269064,0.00010138132188686769,0.003912984820594295,6.664589112385259e-05,0.0031519551189444286,0.00013761566668611834,0.0013935724687299566,3.988766058303027e-05,0.0011268610627123978,2.4915280622665914e-05
"[0.000331, 0.000437)",0.021610533207663374,0.00048393639367657097,0.014555041033109938,0.00021663555436381341,0.013276589145613126,0.00020319711220833573,0.006759076205983758,0.0002059899386026091,0.0037633001710210196,7.681205228629133e-05,0.003260110825928094,6.829387977312786e-05,0.002367787504325179,9.234136549889896e-05,0.0010832937621075068,2.912852919018375e-05,0.0008887732326851403,2.412541680627231e-05
"[0.000437, 0.000575)",0.01935062558382274,0.0004547277742684749,0.012749932699750954,0.00022025167447391276,0.011350630857206542,0.00017789655546020225,0.0057929536029911475,0.00018968698432904495,0.003114135624359624,7.101437234286433e-05,0.0025989655836154324,5.385555729024261e-05,0.00194531396120844,8.36505264099824e-05,0.000844708051923698,2.435175480742767e-05,0.0006587880967115807,1.7355540521151698e-05
