freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.05860160232649494,0.0002994145814997011,,,,,0.02804377229785499,0.0002001499687282759,,,,,0.015085203379367045,0.00014224513920021404
"[1.2e-05, 1.58e-05)",,,0.05851307304748092,0.0003216612172339376,,,,,0.027998212210443664,0.00021159009886455378,,,,,0.015018276230638214,0.00014891311189708811,,
"[1.58e-05, 2.09e-05)",,,,,0.05364382644317895,0.0004110005449979817,,,,,0.024694920493602775,0.0002587250903127915,,,,,0.012766801556269388,0.0001759818021767609
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.059087210075432724,0.0005141391743463474,0.052980747441027036,0.0004585235909872037,0.050328587090169165,0.0004701441738281057,0.028301098203268857,0.00034196374946912097,0.024232128236340935,0.00029254338776756343,0.022427041036416923,0.0002926202428342391,0.01520945275980354,0.00024253002580311797,0.012444547564276699,0.00020042793462037711,0.011205466137826818,0.00019390373353074763
"[3.63e-05, 4.79e-05)",,,0.04975188075951255,0.0005225895637439952,0.04647229346735735,0.0005232449036582113,,,0.022170351841056417,0.00032697276268480255,0.020033361824821596,0.000311134623226875,,,0.011079736621113253,0.00021797895733102413,0.009685853363891165,0.00019940003129124932
"[4.79e-05, 6.31e-05)",,,0.046197245733534543,0.0005815834742143187,0.04333715435662846,0.00038764366804759165,,,0.019974076772618612,0.0003501841140158726,0.018155924516776716,0.0002257574575013436,,,0.009668920239955135,0.00022725645955868064,0.008554719067157109,0.00014183931793841298
"[6.31e-05, 8.32e-05)",0.05303461587706353,0.0007556448338719594,0.044108452395431506,0.0006856068671497332,0.040199414627583065,0.0004410835493145091,0.024347594184602406,0.0004778287528005085,0.01882577911652696,0.00041231732506575284,0.01623607300095798,0.0002481577207630181,0.012591972232102197,0.00032536410671759946,0.009047571360702314,0.000264130011962892,0.007386552710618162,0.00015261455758977974
"[8.32e-05, 0.00011)",0.0488213041016748,0.0008349003950575444,0.041372312900033154,0.0004811071149426228,0.03753067541106955,0.0005075382131305898,0.02159568987743468,0.0005107032462786262,0.01716726014787112,0.0002867100596912432,0.014851095495471365,0.0002944957811696501,0.01073164651565322,0.00033106132140689107,0.008043981434505139,0.00018544232329134586,0.006659446396178469,0.0001906916771045967
"[0.00011, 0.000145)",0.044259435242995936,0.0009150848947318841,0.037025448524545757,0.0004541233011089607,0.03435828171112,0.00039543964474481275,0.018908919823984283,0.0005322960762778462,0.014658874928076358,0.00025580405959341787,0.013080392547481546,0.00022043210147350585,0.009081040558600064,0.00033348722655427977,0.006562324832414472,0.0001615116831698427,0.005648609589852813,0.00013573742874082925
"[0.000145, 0.000191)",0.04206533532340231,0.0009760774034424978,0.03365481380966175,0.0004810787982232341,0.031019913276453828,0.000422630214500691,0.01750949698341148,0.0005771618841372282,0.012876996907715814,0.0002634149862001789,0.011417030743736609,0.00023297101807311563,0.008209157160376887,0.0003727292213383778,0.005582214030334081,0.0001591174098567518,0.004789416499195312,0.00014331606947552808
"[0.000191, 0.000251)",0.04028873421738956,0.0007704912488677359,0.031268290822851395,0.000441071286043678,0.02885646164771682,0.0003982177509585667,0.01647455448510474,0.0004400416762450381,0.01175957064402937,0.0002683464193824027,0.010489428267412195,0.00021780983651755188,0.007597204909407642,0.00026817710695545163,0.005122098937200764,0.00020814459725579645,0.004421608165501831,0.00013738920135871418
"[0.000251, 0.000331)",0.0367314164355412,0.0007972476672384421,0.02754960814359398,0.00045419209790548674,0.0260771728556496,0.0004084479158202592,0.014591183327801937,0.0004551040367223727,0.009751367348922091,0.00023422106923240015,0.009130472382915762,0.00023040230487658702,0.006569847579002068,0.0002832216272351666,0.003953334103470066,0.00013598868527473686,0.0037536324978346153,0.00015330343307681338
"[0.000331, 0.000437)",0.032822488280886096,0.0007216177344245983,0.024995145917640984,0.0004084421144718932,0.02349227772089769,0.0003925944237405054,0.012531910178227086,0.0004067587547578757,0.00874031275622317,0.00023193444644296896,0.007955156510702558,0.00022528153056266786,0.005484873267888436,0.00025786624637240825,0.003592695552981895,0.00015287438283472874,0.0031848535030073464,0.00015045808198936946
"[0.000437, 0.000575)",0.029753202457904783,0.0006357709075703483,0.022070156075084214,0.00037502313528805354,0.021311870080122,0.0003725181462930525,0.010870191483972513,0.0003467340902015312,0.007343007476937517,0.0001998385850982578,0.0069898302829060985,0.00020336642448490124,0.00456857183080283,0.00021249575070777962,0.0028702233222821496,0.0001245631546307637,0.0027443652114054334,0.00012934432491753232
