freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.058414206907977856,0.00029525040948503485,,,,,0.027890093450648173,0.0001944077312457437,,,,,0.014953096811292525,0.00013619935843789323
"[1.2e-05, 1.58e-05)",,,0.0583046530853897,0.0003390327237038512,,,,,0.027964081934196174,0.00022370137693087362,,,,,0.015094532935111666,0.0001592708255944697,,
"[1.58e-05, 2.09e-05)",,,,,0.05259935489116495,0.0003921017637797199,,,,,0.023908840491279094,0.00024730417514564614,,,,,0.012189897493262642,0.00016726331130373568
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.05794764305160831,0.0005196536302615671,0.05204989176649505,0.00046319786140811773,0.050090591446741335,0.00043243290663255544,0.027635129617446345,0.0003413051516132956,0.023901627486448626,0.0002941398980634956,0.022205128807279446,0.00026529710034236935,0.01481962276936058,0.00024059884098906153,0.012369186096852704,0.00020188870620012385,0.011031627018241251,0.0001745866907173883
"[3.63e-05, 4.79e-05)",,,0.04957549496164324,0.0005546061530332676,0.04576210603794958,0.0005383222208354069,,,0.02205584159629734,0.0003379634895811093,0.01966330025216473,0.0003133732803662945,,,0.010982808370924649,0.0002172327900030318,0.009489103067240089,0.00019506457708605616
"[4.79e-05, 6.31e-05)",,,0.04611313469623706,0.0005530465032755619,0.04305452525491917,0.00039931165153800005,,,0.01991767136160417,0.0003354050744683003,0.01788662046159376,0.00022812757007832228,,,0.009642480586853679,0.00021898994994842138,0.008336687815472307,0.00014097551614166123
"[6.31e-05, 8.32e-05)",0.052753042490439155,0.0007197634149832727,0.04270412688047005,0.0006141011458148743,0.03893108650014387,0.00044033888952615876,0.024012187856346665,0.0004623829810033691,0.017875544245975247,0.0003559371355679096,0.01546819396379282,0.0002439112180932007,0.012305482082943018,0.0003211244358698919,0.008377802843398046,0.0002187848801372467,0.006900219157793298,0.00014505665554850634
"[8.32e-05, 0.00011)",0.04917987393004951,0.0008516865679808357,0.039787679082503,0.0004484965099811568,0.03574479520384525,0.00046700560510359694,0.02181780855755752,0.0005395059534811843,0.016115882086125348,0.00024726782514376887,0.013665732223741654,0.00024301999571967566,0.010914085583117355,0.00036478231260612015,0.007308452752020651,0.00014565329881061304,0.005824525176833656,0.00013290042884169531
"[0.00011, 0.000145)",0.04623708798795664,0.0009111765714104009,0.03562106453388806,0.00042344327283404026,0.032293765172309565,0.000338918082144286,0.019811807676080925,0.0005280447747124928,0.013682801664934565,0.00022174866077530718,0.011745355153819389,0.00016912877477118137,0.009488196886961415,0.0003273592212573312,0.005872179448961028,0.00012420365389599768,0.004764732216515202,8.965709202271291e-05
"[0.000145, 0.000191)",0.04034753948376669,0.0009429283463381973,0.0319373499609334,0.0004598898399153689,0.028865487105558356,0.0003534849025328982,0.016469561233556838,0.0005195019167975879,0.011685568360625216,0.00022816284364579544,0.009980367707768984,0.0001654357715023788,0.007536174624680109,0.0003087925423877543,0.004784567316394648,0.0001229757956360879,0.003836469458227084,8.164934542120698e-05
"[0.000191, 0.000251)",0.03849096755773305,0.0006870790682427503,0.02819328284125656,0.0003657303062669383,0.02626066650746858,0.00031808597372334573,0.015234786222387055,0.0003750614101388636,0.009739426981767127,0.00017255480896287016,0.008761366615596943,0.0001463937338890901,0.006771119705093609,0.00021884861492632286,0.003756579911908023,8.773650354573945e-05,0.0032660737299505956,7.240603906968086e-05
"[0.000251, 0.000331)",0.03425292938179288,0.0008262464099694922,0.02582244704328745,0.000400847480662952,0.02261533912146324,0.00029339402705856144,0.013159316044948714,0.00044883029247895994,0.00856365268330677,0.00018357539013371988,0.00706493521700155,0.000128434595861591,0.005713501449854076,0.00026240231206851395,0.0031723640397664206,8.977443344403485e-05,0.0024666706363812747,6.204588075502598e-05
"[0.000331, 0.000437)",0.031028630255513185,0.0006726894655356096,0.021579396661924276,0.00032111326281990016,0.02042925451694135,0.0002660059251853776,0.011400566877517775,0.0003485101341040414,0.0067081161608442815,0.00013297835422299633,0.0060583115832596734,0.00010770718423500466,0.0047241502825340785,0.0001929331183278193,0.002333299486925595,5.869233862745832e-05,0.0019932966622826583,4.6290273239487696e-05
"[0.000437, 0.000575)",0.027410445281986832,0.0005926533461593507,0.019051695349290406,0.00029381381862921165,0.017148092512202028,0.0002619046189270713,0.009532502075935773,0.0002895904581407034,0.005589510200464055,0.00011718262014026366,0.0047155732840483,9.858859895710222e-05,0.003742067930672525,0.00015376646848997504,0.001828491099574772,4.993076948625548e-05,0.0014392752082588167,3.88543266257137e-05
