freq_bin,p1_mean,p1_sem,p2_mean,p2_sem,p3_mean,p3_sem
"[1e-06, 1.32e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.32e-06, 1.74e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.74e-06, 2.29e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.29e-06, 3.02e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.02e-06, 3.98e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.98e-06, 5.25e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[5.25e-06, 6.92e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[6.92e-06, 9.12e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[9.12e-06, 1.2e-05)",0.0,0.0,0.0,0.0,0.2632450446839537,0.0006912206426531577
"[1.2e-05, 1.58e-05)",0.0,0.0,0.24998111029120776,0.0007727342873780079,0.0,0.0
"[1.58e-05, 2.09e-05)",0.0,0.0,0.0,0.0,0.10364663706061732,0.0004804316299834622
"[2.09e-05, 2.75e-05)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.75e-05, 3.63e-05)",0.1879186041839721,0.0009404810206622178,0.09977561035603423,0.000552382488382708,0.07016244770526114,0.00042053955268690193
"[3.63e-05, 4.79e-05)",0.0,0.0,0.06672761582816461,0.000438726444712294,0.04875712807711231,0.00034778802536241147
"[4.79e-05, 6.31e-05)",0.0,0.0,0.04778771809176672,0.00035683820762311976,0.06790033368373893,0.0003785095064272563
"[6.31e-05, 8.32e-05)",0.07651757827388239,0.0006647629269745383,0.036539658284697546,0.00031340492321256774,0.04642780499226518,0.00033799219941669096
"[8.32e-05, 0.00011)",0.05117043109047545,0.0005243985545689231,0.05405949187870776,0.0004173873379088701,0.03441098626413212,0.00027836026455009983
"[0.00011, 0.000145)",0.037747438244981626,0.0004350339646540288,0.05432248558184944,0.00039023322567262265,0.049188689331992004,0.0003451565168143181
"[0.000145, 0.000191)",0.02928522147804812,0.00038386194873644053,0.03808291483673449,0.000352859825493617,0.03407492714556674,0.0002818177479613286
"[0.000191, 0.000251)",0.04427218339488888,0.000499066160995827,0.04389802242760142,0.0003623259555024982,0.03493129475206475,0.00029266142148629015
"[0.000251, 0.000331)",0.031893229353540324,0.0004321532702695915,0.030368604111433255,0.00030087299167313894,0.03241447942460882,0.00027161333359388714
"[0.000331, 0.000437)",0.03520947349660047,0.00043543839985932134,0.03392123069240171,0.00032241197314858275,0.027274317734136046,0.00023702904276459962
"[0.000437, 0.000575)",0.034563354803010066,0.00043587733828509957,0.028748795142481104,0.00028892635195772854,0.026052200297838786,0.00023953019243704637
"[0.000575, 0.000759)",0.031192374743801973,0.00040455981118528103,0.02534591931998101,0.0002798328009431753,0.0216940639393281,0.00022163913240534942
"[0.000759, 0.001)",0.030969377560358207,0.000417529732244492,0.022233080468431872,0.00025718460436207605,0.01826123567576422,0.00020544200640180952
"[0.001, 0.00132)",0.032183534000338576,0.00042547281832240906,0.02057743384973464,0.00025071993313309753,0.0163688537219192,0.00019022214288112055
"[0.00132, 0.00174)",0.027977427777017838,0.0003928877276651121,0.016911748860264048,0.0002335320005932372,0.013476560216791365,0.00018815640954359883
"[0.00174, 0.00229)",0.026581480767000232,0.0003808268591115434,0.01503456384482735,0.00021345895226960226,0.010764870723136791,0.0001674596913326362
"[0.00229, 0.00302)",0.02565061490907882,0.0003663100196869467,0.013251660455721324,0.0002070831672086456,0.008961763977974421,0.00014900707088275964
"[0.00302, 0.00398)",0.023712836347035034,0.00034142726765977314,0.010517751509144743,0.00018840116298768283,0.007347500012095811,0.0001348358432261088
"[0.00398, 0.00525)",0.02214537285270876,0.00035297755368467914,0.008678880235373693,0.00016259391105634012,0.0060526153298922315,0.00012187911260934469
"[0.00525, 0.00692)",0.02194305082930019,0.0003489052128972671,0.00699044927954532,0.00014716025237629545,0.00481187379241351,0.00010919083997589966
"[0.00692, 0.00912)",0.02020525741451305,0.0003291092771672499,0.005838881832962931,0.00012783284928599833,0.0036604168572707393,9.209013521578458e-05
"[0.00912, 0.012)",0.01965539551768549,0.0003195141586950513,0.004758454898866273,0.00012803712488023845,0.0029521300142508196,8.243045722658955e-05
"[0.012, 0.0158)",0.01755206167257142,0.0003003003868875463,0.003875649681093561,0.00011301145637784606,0.0024198181405685275,8.019902458203798e-05
"[0.0158, 0.0209)",0.016356568326032418,0.0003042857993155149,0.0032043095934441864,0.00010025768209731269,0.0019797357199648233,6.819230751033398e-05
"[0.0209, 0.0275)",0.015614674141378935,0.00028638314780173653,0.0027367210071790188,8.867066143382136e-05,0.0017262455079624414,6.140004668535032e-05
"[0.0275, 0.0363)",0.014444896531172664,0.0002803702111774022,0.0025495547027115013,8.534636416568947e-05,0.0014599877350972438,5.9526116865702525e-05
"[0.0363, 0.0479)",0.012909535751879996,0.0002586296026767654,0.0022942654698584856,8.594643035520436e-05,0.001343932279426205,6.319693221545368e-05
"[0.0479, 0.0631)",0.011410504858135573,0.00023892097703548146,0.0024006830689020154,8.717466814817642e-05,0.0014162729294935716,5.936852783959269e-05
"[0.0631, 0.0832)",0.010643716040213878,0.0002424560947920208,0.002541957940578258,8.565034485293968e-05,0.001675600567963658,6.61764840870795e-05
"[0.0832, 0.11)",0.009117887834305768,0.00023246064919822258,0.0025120260865834037,8.91507906512779e-05,0.0016337458009800163,6.215454419866113e-05
"[0.11, 0.145)",0.008372271940187005,0.00021905092934545363,0.0027813544903203136,9.709448990914102e-05,0.0019202738409012509,7.04899976509359e-05
"[0.145, 0.191)",0.006986159424659164,0.00020543190521373904,0.002911454657872229,9.728557522442635e-05,0.002149923332260776,7.247959537557399e-05
"[0.191, 0.251)",0.00659078051923682,0.00019944835672041906,0.003181790633284388,0.00010030200852774524,0.002278977734076008,7.339121004729771e-05
"[0.251, 0.331)",0.005943498127758885,0.00018840013246211674,0.0032443478544793023,0.00010310406545580318,0.002403506109467525,7.753467428168395e-05
"[0.331, 0.437)",0.005516705255733693,0.00018259968748288578,0.0033171948493396206,0.00010229738231067783,0.0024733430696920527,7.763261996667219e-05
"[0.437, 0.575)",0.0054660308762481714,0.00017490388102936962,0.003283709205404848,0.00010005818890928016,0.0024736598423787583,7.758132696967277e-05
"[0.575, 0.759)",0.005264227500780679,0.00017083510187335831,0.00296728247362741,9.575401337900918e-05,0.002477248814278388,7.796302566572174e-05
"[0.759, 1.0)",0.03701624416146744,0.0004593102740804526,0.021845616207388462,0.00025838051851337964,0.017329553161363847,0.00020678223963977376
