freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.057085736444836326,0.00015851581769558997,,,,,0.0269468306706541,0.0001032057946707803,,,,,0.014284387537079533,7.252848569683558e-05
"[1.2e-05, 1.58e-05)",,,0.05655765340313621,0.0001838208904066996,,,,,0.026699937811807187,0.00012142619997671005,,,,,0.014165452698803553,8.586123555240989e-05,,
"[1.58e-05, 2.09e-05)",,,,,0.047121537076809286,0.00020494730695379265,,,,,0.02038316710468007,0.00012202271289163455,,,,,0.009879013388472703,7.74274275324472e-05
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.05641552178682645,0.0002707396062050727,0.046684316074770985,0.00024075428582396482,0.04195855468754111,0.0002228276343642209,0.02655908676216874,0.00017623668686288414,0.020176649730267678,0.00014180879264482694,0.017254259056643184,0.0001256417129338984,0.014056806117530182,0.00012343523361038416,0.00977030417597799,8.881862391363217e-05,0.007945114353022538,7.585796745962099e-05
"[3.63e-05, 4.79e-05)",,,0.04141296846042461,0.0002514815669970684,0.038241193263211855,0.00023034415220687888,,,0.017048186333109182,0.00014507879328963508,0.015067721335274026,0.00012584466970165276,,,0.007871518489689668,8.849528703705275e-05,0.0066359220008965405,7.36588025068339e-05
"[4.79e-05, 6.31e-05)",,,0.037294435130688586,0.0002534381488424356,0.03356102235437703,0.0001762007185441224,,,0.01465417695892116,0.00013706610195626654,0.012485175746736353,8.857857348942896e-05,,,0.0064508529198331905,7.971297274963143e-05,0.005188916970689898,4.757328181343477e-05
"[6.31e-05, 8.32e-05)",0.046312468455161834,0.0003490453867000395,0.03412709686064336,0.0002803980744722543,0.028947026249893662,0.0001740325880336899,0.01998345222218663,0.0002073286776733585,0.012872975227418997,0.0001439545473721581,0.010086760400026814,8.333364471627445e-05,0.009671319877896684,0.00013282893778594028,0.005422638608784771,7.826486189359548e-05,0.003926038300473531,4.2876413671675874e-05
"[8.32e-05, 0.00011)",0.0404079518206126,0.00037925595873041786,0.03047910743466774,0.0002008113062224542,0.02592346963142239,0.00018228200121951364,0.016448129431867266,0.00021096427948475184,0.010964131855387603,0.00010241669326159977,0.008626106193002154,8.289320839135374e-05,0.007506219543998962,0.00012604172338957358,0.004417531041716025,5.575977644881459e-05,0.00320269163721019,4.025104018134008e-05
"[0.00011, 0.000145)",0.03545966427527231,0.00037082418607341206,0.025832082754961162,0.00017632008656176114,0.02292306378968267,0.000139542570636142,0.013632714430538036,0.00019918904252387977,0.008673651177647068,8.198563454537364e-05,0.007184837180583104,5.930447603969596e-05,0.00588575373114649,0.00011568335714047076,0.003257629804573919,4.05467660642235e-05,0.002510379749919716,2.6829407372578084e-05
"[0.000145, 0.000191)",0.03248272691334871,0.00041251831047748303,0.022707051327164825,0.0001773137996595699,0.01975248033269827,0.0001435127815685481,0.011998928957074889,0.0002053492598444508,0.007170613429828642,7.533291360920378e-05,0.005828826040879553,5.849932595333509e-05,0.004952803655965021,0.00010830582319129394,0.0025317003081482166,3.468551315718488e-05,0.0019196561423008248,2.525708152823774e-05
"[0.000191, 0.000251)",0.028969992558785934,0.00029454506114493363,0.0196765103835397,0.00014292585590820633,0.017382338861770555,0.0001205403809156961,0.010257352348810882,0.00014455005364861302,0.005830840980578186,5.792062891320207e-05,0.00482790326889147,4.577963987017953e-05,0.004077825926215289,7.60575448616556e-05,0.0019285139388557054,2.5266991263557472e-05,0.0014930004371568586,1.8542153419128943e-05
"[0.000251, 0.000331)",0.025542928792412017,0.00032968537414581505,0.016804308498936743,0.00015090508838895873,0.0150844385541686,0.00011092307768887945,0.008592891565259485,0.000153930468925041,0.004645279540967073,5.605036478407423e-05,0.0039296998799249454,3.906514229078377e-05,0.003247959817608221,7.603005656712173e-05,0.0014314292076200376,2.215002606951952e-05,0.0011391944094100142,1.4740736025307198e-05
"[0.000331, 0.000437)",0.02180499639717132,0.00025976602158884045,0.014398845201836824,0.00011895568834469971,0.013119964471974246,0.0001053033053571488,0.006829495529996031,0.00011328721296265195,0.0037159228641851375,4.2257123186182336e-05,0.003216547253680596,3.492618293582179e-05,0.002405801794092984,5.2840900487793864e-05,0.001068614889623444,1.5934721145443305e-05,0.0008751858702082731,1.2229108638060073e-05
"[0.000437, 0.000575)",0.019003048301429792,0.00022280903690305218,0.012600504794314921,0.00011355291640801614,0.01124789607130934,9.474826265508985e-05,0.005602538197458798,9.065890413343283e-05,0.003059003425991699,3.715973954374132e-05,0.002569517146571676,2.8924204986359975e-05,0.0018515843259826873,3.920795134023848e-05,0.0008250447178788018,1.2891635618010406e-05,0.0006503615044723219,9.31250860828912e-06
