freq_bin,p1_mean,p1_sem,p2_mean,p2_sem,p3_mean,p3_sem
"[1e-06, 1.32e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.32e-06, 1.74e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.74e-06, 2.29e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.29e-06, 3.02e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.02e-06, 3.98e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.98e-06, 5.25e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[5.25e-06, 6.92e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[6.92e-06, 9.12e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[9.12e-06, 1.2e-05)",0.0,0.0,0.0,0.0,0.24838172256025337,0.0006439961477532524
"[1.2e-05, 1.58e-05)",0.0,0.0,0.23618625549244843,0.0007264559930381086,0.0,0.0
"[1.58e-05, 2.09e-05)",0.0,0.0,0.0,0.0,0.10031075954416821,0.00046158579520204883
"[2.09e-05, 2.75e-05)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.75e-05, 3.63e-05)",0.17612748904909944,0.0008828518778393491,0.09578159588162692,0.0005001130667356481,0.06761545347906553,0.00037373080616806103
"[3.63e-05, 4.79e-05)",0.0,0.0,0.06581203153029369,0.0004124128849810072,0.049057570501094765,0.00032467779312343357
"[4.79e-05, 6.31e-05)",0.0,0.0,0.04705744606305138,0.0003694233104045903,0.06781922724525855,0.00038609218834011444
"[6.31e-05, 8.32e-05)",0.0734168165954909,0.0006180961271298383,0.036749701515924924,0.00033168195433283315,0.046965183929381316,0.00031599082843374835
"[8.32e-05, 0.00011)",0.050018991050243676,0.0004980536951854156,0.05417370755864728,0.0003785538063716684,0.035484649145196764,0.00028467427876203413
"[0.00011, 0.000145)",0.03698481672611205,0.00040192054658385874,0.05598231689623151,0.00038749069883873053,0.05039677822468163,0.00033918861057260287
"[0.000145, 0.000191)",0.028134455265204725,0.00039001857201593853,0.0386150733037488,0.000308912193342044,0.03509048652666328,0.0002856598913427786
"[0.000191, 0.000251)",0.04310197822880961,0.00048109581521875347,0.04556444595646351,0.00033834597591270995,0.03788227704925975,0.0002966345799724683
"[0.000251, 0.000331)",0.03204269345838052,0.000417215377594297,0.03181576572251353,0.00029505520784653514,0.03354033754542482,0.00028738266912823354
"[0.000331, 0.000437)",0.036582261593594956,0.00041787824629717623,0.03590812838869669,0.0003076639711721827,0.02915592794345666,0.0002442859388368031
"[0.000437, 0.000575)",0.03514718742697974,0.00041530067801780386,0.030508463055016942,0.0002959955834333642,0.027439374771888986,0.00024632738371702133
"[0.000575, 0.000759)",0.03202580673501533,0.00041066001182802297,0.02716678587811255,0.0002787925288152868,0.02265312181394582,0.00022870306500395664
"[0.000759, 0.001)",0.03300471219614206,0.0004303583182634671,0.023738317034592664,0.0002641578053389932,0.019508003089376974,0.00020914705053501996
"[0.001, 0.00132)",0.033145270403785176,0.00041376210586660246,0.021182624884054903,0.0002357252238587669,0.017469176157936066,0.0002002757809509371
"[0.00132, 0.00174)",0.028560005411851056,0.0003643200854796582,0.018669400483217444,0.00022485737919294044,0.013700784517307586,0.0001825043892674577
"[0.00174, 0.00229)",0.027792814140257676,0.00038967650651519344,0.015859078265046688,0.00020410866056165457,0.011980875704109354,0.00016635386869706732
"[0.00229, 0.00302)",0.025653284952093933,0.0003696500646810214,0.013253666336338767,0.0001892595178334532,0.009697900312493696,0.00014430556628165775
"[0.00302, 0.00398)",0.025569144225816465,0.0003544760472916357,0.011075688669078536,0.00017445506432621453,0.007911538655811286,0.00013398054119033038
"[0.00398, 0.00525)",0.02289873348217516,0.0003487768533547938,0.009092836319339798,0.0001563178782421251,0.006547220104143067,0.0001292205891683273
"[0.00525, 0.00692)",0.022563877333986897,0.0003338758696656573,0.0075455662780856865,0.00014825424003616695,0.004848361142301439,0.00010778162476732977
"[0.00692, 0.00912)",0.021123618846235266,0.0003228310725390645,0.006156556940451171,0.00012763645615052703,0.004041547177790277,9.491878535375199e-05
"[0.00912, 0.012)",0.019689623628954784,0.00030624921873044633,0.004890123823916416,0.00011686679250883666,0.00328603857830057,8.941952147334102e-05
"[0.012, 0.0158)",0.019638246129935585,0.0003265828927535858,0.003944869822996475,0.00010571975280029841,0.0026418689551598205,7.754471210011167e-05
"[0.0158, 0.0209)",0.01724840334463851,0.0002921855546474948,0.003559607250616402,0.00010318192573872754,0.002173296758007764,6.810370161575303e-05
"[0.0209, 0.0275)",0.01632554132125522,0.00028890946367014206,0.0030555950405131574,9.634552280623132e-05,0.0018990244103148275,6.621851966240661e-05
"[0.0275, 0.0363)",0.014741580251611559,0.00027605975594361916,0.002567247816758734,8.365418548733449e-05,0.0017614122619878418,6.320647839390533e-05
"[0.0363, 0.0479)",0.013470474190840114,0.00027595309933239794,0.002552389120577419,8.572680707236556e-05,0.0016197926481072186,6.207077289402682e-05
"[0.0479, 0.0631)",0.012563011317259823,0.0002606968902504878,0.0022828159213851046,8.27577373422189e-05,0.0015619470787719152,5.983883379644492e-05
"[0.0631, 0.0832)",0.010844810050198432,0.00022235136744076165,0.0026533209943834196,8.550871440591719e-05,0.001726104616069907,6.01138504341361e-05
"[0.0832, 0.11)",0.009479298528020506,0.00021469154256179872,0.002561850095947852,8.665796353051887e-05,0.0018806144368322274,6.840429655320717e-05
"[0.11, 0.145)",0.00863352777200454,0.00021623308914725214,0.0028772601098747044,9.80451402258069e-05,0.0019402627888220859,6.750468643057096e-05
"[0.145, 0.191)",0.007970772885268226,0.00020258117240037714,0.003209206410378397,9.641693865882097e-05,0.0022109073363212146,6.983987273289522e-05
"[0.191, 0.251)",0.006678621367120304,0.0001842510250358747,0.0032304988792337197,9.725185809293923e-05,0.002359347973090833,7.48449526592176e-05
"[0.251, 0.331)",0.006134059416442198,0.00016936988836777138,0.003188872943642048,9.650094700967443e-05,0.0024902436703235125,7.672501365091316e-05
"[0.331, 0.437)",0.005718334673459232,0.0001730305837796781,0.0035623779493858553,0.00010296785955852526,0.002630368918079888,7.849709811015343e-05
"[0.437, 0.575)",0.0054960244412417475,0.0001629386328803268,0.0033285458827296316,0.0001047408965726275,0.002613383529599526,8.155358594246639e-05
"[0.575, 0.759)",0.005265188962800894,0.00016518435461607906,0.0032895912726594334,9.865702529068257e-05,0.0025315488768318344,8.027476740496276e-05
"[0.759, 1.0)",0.03620852459767363,0.00045218661920039423,0.021350374212019293,0.0002459524435563301,0.017175560022370025,0.0002003586936701748
