freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.06102672918981284,0.0001562082305605411,,,,,0.02965891421166726,0.00010601764228728362,,,,,0.01621274057599137,7.741511787661342e-05
"[1.2e-05, 1.58e-05)",,,0.06066476499481161,0.0001835060101941034,,,,,0.029409904234291333,0.00012310472708223258,,,,,0.016041261366537517,8.880751033218537e-05,,
"[1.58e-05, 2.09e-05)",,,,,0.06058742091976572,0.00024679148665379024,,,,,0.029286496222769062,0.00016238612973113863,,,,,0.01590545098970536,0.00011521031679854214
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.06102029324860986,0.00030143988164284946,0.05984280334984483,0.00027475140286977557,0.06055010888403423,0.0003234535597241985,0.029686870025845087,0.00020465663328347509,0.028981517059243005,0.0001888602822830461,0.02944936712313428,0.00021713170588574248,0.016248151588106902,0.00014903228051728578,0.015819791509140757,0.0001388800271928221,0.01612435010669379,0.000157000845145151
"[3.63e-05, 4.79e-05)",,,0.059897241224290826,0.0003390673424025888,0.06042332880745572,0.0003421703995076632,,,0.02887539723902133,0.00022412549412599317,0.029278542293891117,0.000235221385969201,,,0.01564831675725907,0.0001604680159343028,0.015964413644094833,0.00017340764576861538
"[4.79e-05, 6.31e-05)",,,0.059675843118184115,0.0004028531668331561,0.06061421186926836,0.0002928534422533005,,,0.028819328543832633,0.00027307558282434067,0.029394897346582256,0.0002002677030377488,,,0.015691879736229663,0.00019940829895347578,0.016030943965612224,0.00014617435176463324
"[6.31e-05, 8.32e-05)",0.06030039388228428,0.0004595740313581133,0.06049623681064609,0.0004637133979970471,0.061071028529956724,0.0003649269892363784,0.029086754011389056,0.00030770146154654416,0.029363913699699474,0.0003067115630202789,0.029654010306806457,0.00024546420987374494,0.015763321682502874,0.00021996561184070497,0.016006147545143734,0.00021729443343306538,0.016174358781123728,0.0001761893681886948
"[8.32e-05, 0.00011)",0.061857113354511696,0.0005267239436838089,0.06014600711205824,0.0003605714148642566,0.05956626996775249,0.000391389083511597,0.030061227662457547,0.00035655701786432246,0.029188542195684616,0.00024130274385995417,0.028656787837718085,0.00025983322752363324,0.016398095506811417,0.00025870516682367014,0.015943968127928837,0.00017438011067282132,0.015494321560951454,0.00018486835671421714
"[0.00011, 0.000145)",0.059703514421529026,0.0006321504954484608,0.05943305247644097,0.0003590164420964353,0.060495074175124015,0.00032817867564660284,0.028685785573613856,0.0004204356024541911,0.02867275683512066,0.0002419314020466421,0.0293252991559217,0.00022142125223465387,0.01550421344294449,0.0003019343380836348,0.015579176548336661,0.00017506347634036243,0.01596506923543791,0.00016080137908200718
"[0.000145, 0.000191)",0.06115620793474332,0.0007239327034640976,0.05856424135449858,0.00041227881610568897,0.06010366228493976,0.000391589222131933,0.029849929941776553,0.0004894132038307923,0.0282454588924454,0.0002754059471279768,0.02913424188139079,0.00026368297951057486,0.01639789627444545,0.00035732425639032613,0.015347963325756156,0.0001980495720233563,0.015875616927442958,0.00018984684815419285
"[0.000191, 0.000251)",0.06127564384551717,0.0005362747145794439,0.05925125346375154,0.0003935650872144279,0.059551811402774824,0.0003768731735137209,0.029663653229820335,0.0003618477973222776,0.028721720605297815,0.0002682050163712752,0.028765065898192412,0.00025319552367082464,0.016107944044411383,0.0002611910501357747,0.01567737340916384,0.00019426067905092394,0.01564032940956354,0.00018372208040615958
"[0.000251, 0.000331)",0.06000008474171867,0.0006089883023024675,0.05937583355225043,0.00045240064255183324,0.06042035502715684,0.00038566572311317767,0.02876612135384352,0.00041354415530902303,0.028665538715784863,0.00029971998240981896,0.029375595454964844,0.00025908467677194483,0.01547327992292876,0.0002977902884885858,0.015603710502673998,0.0002146301816949067,0.01606773721129716,0.0001870147683350984
"[0.000331, 0.000437)",0.06130992134733375,0.0006085782414991407,0.058804470257133416,0.0004287857052989866,0.06009960996142257,0.0003916439706409173,0.029899550668062467,0.00041120047518556203,0.028325916491983384,0.00028366232736577485,0.029127668905634715,0.000266246546205764,0.016399295808755227,0.00029831659805128007,0.015352891562260416,0.00020062286796520046,0.015885571936055675,0.00019455775314838718
"[0.000437, 0.000575)",0.06074346742894647,0.0005882612499712336,0.05827415435859667,0.00042758588947946905,0.05987348968704727,0.00039644553622411713,0.02944839218779693,0.00039685944674347316,0.028049369367709125,0.000285583550983719,0.029028813434877607,0.0002698523735816336,0.016055701989918843,0.0002829894511062696,0.015196970647976041,0.00020621807360598544,0.015842223508634144,0.00019786013659298842
