freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.05867916598460044,0.0001650870012097898,,,,,0.028040296417095142,0.00010803842455468035,,,,,0.015049753692631078,7.568141447965476e-05
"[1.2e-05, 1.58e-05)",,,0.058256503842163423,0.0001925544265344252,,,,,0.027843921268241714,0.00012739902853288386,,,,,0.014942693640201031,8.935776235991586e-05,,
"[1.58e-05, 2.09e-05)",,,,,0.05362942972330448,0.00022004675622666354,,,,,0.024637255287520254,0.0001445527410300271,,,,,0.01270825056472992,0.00010165081954667429
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.05856509946500119,0.0003027620087588515,0.052737268835522086,0.00026570172706399616,0.05008192915012589,0.00025065521913091146,0.02801757186713833,0.00019689612549747434,0.02418452649363679,0.00016630332822917528,0.02227792007240096,0.00015552642675712903,0.015055533084353714,0.00013717327092935128,0.012458526525330787,0.00011145203093666015,0.0111128152190961,0.00010266691953184784
"[3.63e-05, 4.79e-05)",,,0.04956110023199625,0.00028623473122875486,0.04672042082233625,0.0002903056930009224,,,0.022094290521649584,0.0001731728064739013,0.020182164532190225,0.00017357306144284438,,,0.011054309864773166,0.00011232650540535477,0.00977536386636743,0.00011078407174702292
"[4.79e-05, 6.31e-05)",,,0.04606859466366133,0.0003065671901788698,0.04367621180628392,0.00022038002826173762,,,0.019925118655605475,0.00018437963530907174,0.01834458092398063,0.0001287173334667203,,,0.009667899925998615,0.0001187449071161103,0.008666065058428643,8.18925676966389e-05
"[6.31e-05, 8.32e-05)",0.0532064524230801,0.00042166181147261815,0.044145262774958595,0.00035305957211321376,0.040209303972306015,0.0002500736337199302,0.024396456483460918,0.0002626430816272102,0.01876357848167266,0.00020743454678307083,0.016288495141784983,0.00014339015406804353,0.012563714541448893,0.0001741252422119949,0.008963372508645687,0.00013104235378776132,0.007432107328957977,8.9892103398637e-05
"[8.32e-05, 0.00011)",0.04843826851260467,0.0004436031391408776,0.04123801059331149,0.0002657102069717367,0.03777669330005211,0.00027974206372603186,0.02140144200105587,0.0002674008573464036,0.017086367328390837,0.0001532350456806343,0.014944755393285096,0.00015899504379128545,0.01063562329722885,0.00017374821583993568,0.00798494067611832,9.700572795185384e-05,0.006676959202714744,9.902614272014215e-05
"[0.00011, 0.000145)",0.045797636225117816,0.0004901336889287418,0.03698560140192302,0.0002435691268074213,0.034538618641747704,0.00020481180341024548,0.019887592678429662,0.0002987800406947712,0.014626538629153443,0.00013725025793223972,0.013216495383897072,0.00011304107415444169,0.009739979111001367,0.00019663958016812136,0.006546439198355465,8.558240159953222e-05,0.00573002078874708,6.941642171318739e-05
"[0.000145, 0.000191)",0.04263881731370703,0.0005174284982378296,0.03355782461487598,0.00026164201501588835,0.030798696306312757,0.0002243463519410261,0.017820936450791663,0.0003020494487476338,0.012822335931313576,0.00014142750284185064,0.011269627138017959,0.00011959673080263703,0.008376790345412825,0.00018904661403425596,0.005562174728337331,8.507901554215697e-05,0.004693409343679196,7.142550128712631e-05
"[0.000191, 0.000251)",0.03950584558592729,0.0003950818089649173,0.030652629088344405,0.00022865511919320674,0.028533152835313786,0.00021360001827252546,0.016046768121145562,0.00022725260485116275,0.011382592181544577,0.00012890113819853292,0.010197711597919311,0.00011441193013031436,0.007368686098119974,0.00014199183743737617,0.004856649750872821,8.751461498918431e-05,0.004207363916409457,7.098364796197692e-05
"[0.000251, 0.000331)",0.036351729338790946,0.00042073188621189926,0.027725736776774083,0.0002499927882575508,0.025605421863111027,0.00022001281554240786,0.014359075817482726,0.00023708843548861578,0.009917277884154519,0.00013479318796497819,0.008871076028396775,0.00012451735246801743,0.0064243516893425275,0.00014578339938314984,0.004092383480121322,8.351071184083831e-05,0.0035946180836647964,8.09648033999551e-05
"[0.000331, 0.000437)",0.03253765821922953,0.0003730437949012052,0.02501994629047311,0.0002210746807803959,0.023037949739860564,0.0002086376294726303,0.012378496294179713,0.00021603950307045474,0.008656718022307502,0.00011991191667510623,0.007746102451919003,0.00011588978344223597,0.00540703950549817,0.00014600486605751735,0.003496270271182339,7.58956632256022e-05,0.0030896537657436707,7.635594007532994e-05
"[0.000437, 0.000575)",0.030474322415211447,0.0003474825926444292,0.02248677064231655,0.00021942384131106018,0.020914430912698137,0.00020099589470981417,0.011395829779755484,0.0001957332256852618,0.007567697902777931,0.0001238182296242483,0.006849793387130646,0.00011237850453551803,0.00493051037287025,0.00012603179386713528,0.003022662094971315,8.56589077557569e-05,0.002699535932241866,7.811916909580515e-05
