freq_bin,effect_0.7_p1_mean,effect_0.7_p1_sem,effect_0.7_p2_mean,effect_0.7_p2_sem,effect_0.7_p3_mean,effect_0.7_p3_sem,effect_1.0_p1_mean,effect_1.0_p1_sem,effect_1.0_p2_mean,effect_1.0_p2_sem,effect_1.0_p3_mean,effect_1.0_p3_sem,effect_1.3_p1_mean,effect_1.3_p1_sem,effect_1.3_p2_mean,effect_1.3_p2_sem,effect_1.3_p3_mean,effect_1.3_p3_sem
"[1e-06, 1.32e-06)",,,,,,,,,,,,,,,,,,
"[1.32e-06, 1.74e-06)",,,,,,,,,,,,,,,,,,
"[1.74e-06, 2.29e-06)",,,,,,,,,,,,,,,,,,
"[2.29e-06, 3.02e-06)",,,,,,,,,,,,,,,,,,
"[3.02e-06, 3.98e-06)",,,,,,,,,,,,,,,,,,
"[3.98e-06, 5.25e-06)",,,,,,,,,,,,,,,,,,
"[5.25e-06, 6.92e-06)",,,,,,,,,,,,,,,,,,
"[6.92e-06, 9.12e-06)",,,,,,,,,,,,,,,,,,
"[9.12e-06, 1.2e-05)",,,,,0.06105984449887774,0.00029874325115873934,,,,,0.029719848320957466,0.00020084852659440567,,,,,0.016283238325032243,0.00014619300430990316
"[1.2e-05, 1.58e-05)",,,0.06102722420345978,0.00035039656507310403,,,,,0.02959077025598704,0.00023409519651755071,,,,,0.016159064440456807,0.00016886738365319876,,
"[1.58e-05, 2.09e-05)",,,,,0.06084555447743169,0.0004620816502057854,,,,,0.029462129445064152,0.00030783233628963494,,,,,0.01601158646602736,0.00021801141655662873
"[2.09e-05, 2.75e-05)",,,,,,,,,,,,,,,,,,
"[2.75e-05, 3.63e-05)",0.06192264184075121,0.0005557234519173459,0.05971142073916217,0.0005204303798417645,0.06006037941782986,0.0005299982411938174,0.030177151195978875,0.00037225193670349806,0.02884755161917321,0.0003588580900306407,0.029032743331325436,0.0003541310416617148,0.016522209763687908,0.0002679140205622279,0.015718075663905828,0.0002681958046175814,0.015787458983670167,0.0002563741251224446
"[3.63e-05, 4.79e-05)",,,0.06054104851910564,0.0006228745123027056,0.05886656183317247,0.0005993769375156998,,,0.02930644984578619,0.0004215497434872738,0.02830991077592759,0.00041397642304798475,,,0.015949067754530217,0.0003073981715291189,0.015334499268199247,0.00030542284964785117
"[4.79e-05, 6.31e-05)",,,0.059980289086905,0.0007840629052991072,0.0608552426007623,0.0005723547733384622,,,0.02896576893098409,0.0005400528902716801,0.029517875486395635,0.000390416589288543,,,0.015773963032543407,0.0003935445485367517,0.016099134443286065,0.00028246265584887985
"[6.31e-05, 8.32e-05)",0.059600107683105606,0.0008279641101138013,0.061238831346534996,0.0008384016113778443,0.060971706500797467,0.0006318464221082129,0.028569573492071107,0.0005466942174001708,0.029841834541311726,0.0005640559622094826,0.029448197664181684,0.0004164515761426635,0.015373580154792912,0.0003835711025172125,0.01630500654943068,0.0004042880564049555,0.015918794079944707,0.00029124624007208027
"[8.32e-05, 0.00011)",0.06037170482658774,0.0010206816346405106,0.05990886027163405,0.0006678449403156362,0.05976224354103769,0.000726374331928085,0.02923950612202739,0.0006799546505535778,0.029007834591726914,0.00044760212003315146,0.028800720524841162,0.0004901163498107707,0.015927567458853143,0.0004884973859295092,0.015787571177217748,0.00032134490165415704,0.015597962162660113,0.0003536012990303407
"[0.00011, 0.000145)",0.05818806000668713,0.0011549457682882788,0.059740455324793475,0.0006423119476011113,0.059766668074517366,0.0006098308599017692,0.02776506260944363,0.0007662082589765601,0.028766088897179715,0.0004340962283122265,0.028869034667083036,0.0004168254706019746,0.014970919365569437,0.0005570359310651562,0.015549070029639052,0.0003105366315576949,0.015706624698023936,0.00030552169578448786
"[0.000145, 0.000191)",0.060928326314786084,0.001384076335651171,0.058343070226301565,0.0007575773814385808,0.05975946263415398,0.0007656685321697943,0.029903105879516962,0.0009569901520298654,0.027996749517320382,0.0004980415172182736,0.02896335299592806,0.000509202476337504,0.016519233418333213,0.0007158422059343301,0.015110932457350526,0.00035018758902836814,0.015787051327422773,0.0003586896045124349
"[0.000191, 0.000251)",0.06168194079487819,0.0010885188727396617,0.059616893812330804,0.0006918292808151917,0.058811221378734915,0.0006406248755466081,0.029912242320449266,0.0007314381662483757,0.02886762552772197,0.00047613284685609907,0.028192105938197976,0.000427889033986678,0.01622791976660322,0.0005261944387573768,0.015742571818718718,0.0003491108862583845,0.015187166015319723,0.0003044649154845304
"[0.000251, 0.000331)",0.059970111592952305,0.0012432828610397918,0.059262653855478076,0.0008266094479389083,0.06085691566877661,0.0007585124397440931,0.028868888415315066,0.0008692528281830621,0.028372096677540717,0.0005472107178573199,0.029826627875034577,0.0005059379552989534,0.015613834354103712,0.0006482862163513755,0.01526996797422184,0.0003859861700291385,0.01646578066458185,0.00036128529066854087
"[0.000331, 0.000437)",0.05893216292264495,0.0011043199482787737,0.05898797709452233,0.000799143179238399,0.060810688533938034,0.0007730514643915458,0.0285034279232944,0.0007368578343934498,0.028287852172062367,0.0005261275515488158,0.029700592318732007,0.0005365215434374522,0.01552526953672444,0.0005241589601377347,0.015198963472539101,0.0003689020978981889,0.01637481174116563,0.0003998875698346641
"[0.000437, 0.000575)",0.06145623711810185,0.0011010495508137082,0.05924480417660942,0.0008187557472595616,0.0596246388895905,0.0007587711565826623,0.029919338046364086,0.0007329107095928344,0.028624569875229943,0.0005472931412886565,0.028838081638557733,0.0005178064692453144,0.01636496897951199,0.000519586956928599,0.015562429495647711,0.00039199848519165786,0.015739785671922142,0.0003839298005632061
