freq_bin,p1_mean,p1_sem,p2_mean,p2_sem,p3_mean,p3_sem
"[1e-06, 1.32e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.32e-06, 1.74e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[1.74e-06, 2.29e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.29e-06, 3.02e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.02e-06, 3.98e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[3.98e-06, 5.25e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[5.25e-06, 6.92e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[6.92e-06, 9.12e-06)",0.0,0.0,0.0,0.0,0.0,0.0
"[9.12e-06, 1.2e-05)",0.0,0.0,0.0,0.0,0.24778400752354457,0.0003556215015768323
"[1.2e-05, 1.58e-05)",0.0,0.0,0.2346767997077791,0.0004127090757424079,0.0,0.0
"[1.58e-05, 2.09e-05)",0.0,0.0,0.0,0.0,0.09947419696439423,0.00025625063025446366
"[2.09e-05, 2.75e-05)",0.0,0.0,0.0,0.0,0.0,0.0
"[2.75e-05, 3.63e-05)",0.17123658241011966,0.00047394033429853135,0.095384085243305,0.0002790542566125757,0.06787361423590837,0.00021423682601835113
"[3.63e-05, 4.79e-05)",0.0,0.0,0.06465538624468205,0.00022996054064437936,0.048586723443284095,0.00016799540008275484
"[4.79e-05, 6.31e-05)",0.0,0.0,0.04718060241268459,0.00019908657083260803,0.06771717043970195,0.00020106526713822137
"[6.31e-05, 8.32e-05)",0.07149325701631984,0.00030815458196457727,0.036151602841159355,0.0001809986473814175,0.04666249724905074,0.00016580767204721613
"[8.32e-05, 0.00011)",0.04905632275637983,0.000276675024940393,0.053869198758131794,0.00021588766070862833,0.0350785040453381,0.00015281699858966472
"[0.00011, 0.000145)",0.03595807882622759,0.00023133936800374087,0.054888012046884004,0.000213808254557115,0.05027066415376037,0.00018280570284560346
"[0.000145, 0.000191)",0.028172475467541095,0.00020843433182476904,0.03844415980325057,0.00018186439495672857,0.03488559483086469,0.00014794783394902792
"[0.000191, 0.000251)",0.04239470035799977,0.0002692784714363218,0.04513743951109055,0.00020217882502320312,0.03717854691389801,0.00015917667533464795
"[0.000251, 0.000331)",0.031536854694148714,0.00021943360296797102,0.03185781460114906,0.0001667041249574944,0.03397983331241548,0.00014529289372220986
"[0.000331, 0.000437)",0.03581204606669402,0.0002296029966739789,0.036029358744975926,0.00017080586496799168,0.028972068675093023,0.00013827380571190535
"[0.000437, 0.000575)",0.0349300091339386,0.00022434080360162566,0.03086237288476078,0.00016786518774061812,0.027212788040535865,0.00013442836180895215
"[0.000575, 0.000759)",0.032383125311369894,0.00022170473583023448,0.027174251877257978,0.00015630468806631108,0.02345521498040852,0.00012749948666625465
"[0.000759, 0.001)",0.03273562015814749,0.00021817859571302697,0.024186355406946733,0.0001383116027676935,0.01942936004047752,0.00011296919095967998
"[0.001, 0.00132)",0.03349808826724582,0.00022904338673634633,0.021989708314712676,0.00013566194825448852,0.01762127767430244,0.00011077961443549039
"[0.00132, 0.00174)",0.029431358593653822,0.00020823932931938156,0.01906990828206816,0.00012645066430314522,0.01450731244702313,9.482026672720604e-05
"[0.00174, 0.00229)",0.02827813493995923,0.00020480755997512285,0.016326031803015697,0.00011872710522336322,0.011986011084703152,9.491517586945337e-05
"[0.00229, 0.00302)",0.027146259030756997,0.00020055943747765455,0.013718115244463687,0.00010591478558724463,0.009912736287634201,8.089189547184871e-05
"[0.00302, 0.00398)",0.02588646204047027,0.00018976811022179135,0.011347912439832058,9.75300331152911e-05,0.00833839599943942,7.482503520870352e-05
"[0.00398, 0.00525)",0.024247122967198383,0.0001855907117608798,0.00934883771872854,9.503357501698865e-05,0.006570172121865511,6.570285665730258e-05
"[0.00525, 0.00692)",0.023824414129039295,0.0001828697224186406,0.007896937196977562,8.191529686715102e-05,0.0053087924073428215,5.96863290116106e-05
"[0.00692, 0.00912)",0.022251819913825674,0.0001882340458443684,0.006429569917940761,7.690486301087749e-05,0.004257520423491822,5.379517396289083e-05
"[0.00912, 0.012)",0.020800708759837576,0.00018230777201749194,0.005127066927600757,6.419802923784568e-05,0.003402202583221021,4.460455500849427e-05
"[0.012, 0.0158)",0.019397407830984956,0.0001702316765039417,0.004274452241334599,5.9646967822306195e-05,0.0027210991584086133,4.3145368880743565e-05
"[0.0158, 0.0209)",0.01839971724109729,0.00016251792086088656,0.003625956537999874,5.7289732360082456e-05,0.0022510064380052725,3.8590442629202945e-05
"[0.0209, 0.0275)",0.016770895467736933,0.00017128206564891182,0.0031136642562269107,5.130023240715216e-05,0.0019703343177670633,3.6065987690402184e-05
"[0.0275, 0.0363)",0.01564772857838478,0.00016534361533402815,0.0027816896081465626,4.734183504193609e-05,0.0017415092157417244,3.44076508789586e-05
"[0.0363, 0.0479)",0.014364885156452081,0.0001484566686381761,0.0026560323569004697,4.666936744842772e-05,0.0016135694015966477,3.359879881387972e-05
"[0.0479, 0.0631)",0.012677301779362767,0.00013934975963035372,0.002587738262781912,4.7137858697419735e-05,0.0016775926009951724,3.477321066276895e-05
"[0.0631, 0.0832)",0.011138655698928352,0.0001322863156541351,0.002623931149207956,4.649000115063268e-05,0.0017512174417304023,3.374411932391889e-05
"[0.0832, 0.11)",0.010078550018736619,0.0001272899722583706,0.002872239511953451,5.103973043279285e-05,0.0018289873203549652,3.4493051340727707e-05
"[0.11, 0.145)",0.008518525746543843,0.00011739510042251985,0.002968801315295805,5.187703491348073e-05,0.0020990183236394753,3.747601159335118e-05
"[0.145, 0.191)",0.007844851848343968,0.00010934007221735542,0.0032317748409647,5.2082107735794014e-05,0.002281521682381693,4.137086672643526e-05
"[0.191, 0.251)",0.0069211895894204165,0.00010019290570076762,0.0032932350490102783,5.6294246980990625e-05,0.0024286488349459802,4.0700336388789775e-05
"[0.251, 0.331)",0.006203719100988412,0.00010319178708326859,0.003436053266123455,5.397642058881661e-05,0.0025949590478032644,4.1260036551222696e-05
"[0.331, 0.437)",0.005713346847101172,9.422671989495593e-05,0.0034476186726048776,5.756852887273087e-05,0.0026731614743062113,4.086247140862364e-05
"[0.437, 0.575)",0.005386322560256943,9.31301306852605e-05,0.003362552029511231,5.711336647575991e-05,0.0026530426631565657,4.403027405153782e-05
"[0.575, 0.759)",0.005008812531297857,8.88382418402968e-05,0.0031269005251254914,4.995995951729355e-05,0.0024987883237759605,3.968540588341168e-05
"[0.759, 1.0)",0.034854649163489855,0.00022543887600423191,0.020845832447415426,0.00013144168542853215,0.01675033787769189,0.00010528907059008349
