pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID,unit
p1,0.7,0.0856065739071766,0.0856065739071766,0.2153519353118705,0.064100503506608,0.1184146705999935,0.0346920896077985,0.0752849748653536,0.1420871356613716,0.0151818345454893,0.0124895930906714,0.0124895930906714,0.7347741405348416,h00,1021574717937228960,cM
p1,0.8,0.0683078719721482,0.0683078719721482,0.2282611171538165,0.0566495194709707,0.10465025734332,0.0381225777600221,0.0678346932749929,0.1280260408288598,0.0171539303730716,0.008336727870256,0.008336727870256,0.7164623747130895,h00,1021574717937228960,cM
p1,0.9,0.0546502462860689,0.0546502462860689,0.2402643195631805,0.0501699248272339,0.0926803191464931,0.0411914159841916,0.0605205150412528,0.1142218171201109,0.0190355453112236,0.0054800508790285,0.0054800508790285,0.6995087191414043,h00,1021574717937228960,cM
p1,1.0,0.0440574901378304,0.0440574901378304,0.2512046062784892,0.0446519380367941,0.0824867862969784,0.0438593217047328,0.0537283667463199,0.1014028330141813,0.0207802558203026,0.0035842822042997,0.0035842822042997,0.6841558161964754,h00,1021574717937228960,cM
p1,1.1,0.0359055089044007,0.0359055089044007,0.2610795712482026,0.040010059671568,0.0739117132864081,0.0461368285768382,0.0476877517052333,0.0900022356126939,0.0223652646000656,0.0023586762405468,0.0023586762405468,0.6704183355748935,h00,1021574717937228960,cM
p1,1.2,0.0296221501153741,0.0296221501153741,0.2699607524188699,0.0361160149240815,0.0667181344399064,0.0480600646908128,0.0424753985436017,0.0801648366879244,0.0237847532953472,0.0015794936313509,0.0015794936313509,0.6581944295949699,h00,1021574717937228960,cM
p1,1.3,0.0247377889091294,0.0247377889091294,0.2779435485713667,0.0328337410745833,0.0606546972522837,0.049674882772836,0.0380649818719072,0.0718409517019095,0.0250433482921137,0.0010885069714574,0.0010885069714574,0.6473382203636834,h00,1021574717937228960,cM
p2,0.7,0.0607879618417038,0.0607879618417038,0.2926144450938797,0.0412575925228304,0.0495884525514789,0.0639304148563671,0.0160945367426503,0.0544374036883762,0.0029986282215433,0.0136199508445222,0.0136199508445222,0.6404565118282098,h00,1021574717937228960,cM
p2,0.8,0.0470843011053605,0.0470843011053605,0.3078830118717637,0.0334168382332275,0.0401644690303215,0.0675529605194916,0.012072114349365,0.0408321514757934,0.003063395324031,0.0091115382796522,0.0091115382796522,0.6215006322847134,h00,1021574717937228960,cM
p2,0.9,0.0362918026880452,0.0362918026880452,0.3225470270097119,0.0271728477610116,0.0326596727896774,0.0706721387444173,0.0091226732413783,0.030856100669368,0.0031293490583051,0.0059774396231194,0.0059774396231194,0.6036514851875656,h00,1021574717937228960,cM
