"pop","tau","unit",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.9,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,47,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000168,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1155,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000123,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000246,"***"
"African",0.9,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,45233,0.0000000743,0.0000000743,"***"
"African",0.9,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000128,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,17613,0.0000000000000000000000000000000000000000000444,0.0000000000000000000000000000000000000000000444,"***"
"African",1,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,71,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000194,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1310,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000307,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000614,"***"
"African",1,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,45625,0.000000145,0.000000145,"***"
"African",1,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,2,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000128,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,19955,0.000000000000000000000000000000000000000867,0.000000000000000000000000000000000000000867,"***"
"African",1.1,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,132,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000028,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000084,"***"
"African",1.1,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1543,0.000000000000000000000000000000000000000000000000000000000000000000000000000000121,0.000000000000000000000000000000000000000000000000000000000000000000000000000000242,"***"
"African",1.1,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,46528,0.000000636,0.000000636,"***"
"African",1.1,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.1,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,0,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,10,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000135,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,22447,0.000000000000000000000000000000000018,0.000000000000000000000000000000000018,"***"
"African",1.2,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,261,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000607,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000182,"***"
"African",1.2,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,1899,0.000000000000000000000000000000000000000000000000000000000000000000000000000000966,0.00000000000000000000000000000000000000000000000000000000000000000000000000000193,"***"
"African",1.2,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"cM","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,47462,0.00000272,0.00000272,"***"
"African",1.2,"cM","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.2,"cM","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"Mb","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,1,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000128,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"Mb","per_cM_nonzero_log","Short ROH","Long ROH",500,500,24,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000147,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"Mb","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"Mb","per_cM_nonzero_log","Medium ROH","Long ROH",500,500,24769,0.000000000000000000000000000000111,0.000000000000000000000000000000111,"***"
"African",1.3,"Mb","per_cM_nonzero_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"Mb","per_cM_nonzero_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",1.3,"cM","per_cM_nonzero_log","Short ROH","Medium ROH",500,500,462,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000202,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000606,"***"
"African",1.3,"cM","per_cM_nonzero_log","Short ROH","Long ROH",500,500,2334,0.0000000000000000000000000000000000000000000000000000000000000000000000000000121,0.0000000000000000000000000000000000000000000000000000000000000000000000000000242,"***"
"African",1.3,"cM","per_cM_nonzero_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
