hXX,simID,pop,class,length_Mb,length_cM
h00,1021574717937228960,p1,A,0.03996225096361853,0.02438793999381916
h00,1021574717937228960,p1,B,0.2998024656631248,0.39904768793618
h00,1021574717937228960,p1,C,1.3943982052238806,1.9341539552238805
h00,1021574717937228960,p2,A,0.0693615223451821,0.0475805062583825
h00,1021574717937228960,p2,B,0.2568833345248552,0.36825436252765037
h00,1021574717937228960,p2,C,1.0585135333333333,1.744818927536232
h00,1021574717937228960,p3,A,0.0749807359610198,0.053589393818917024
h00,1021574717937228960,p3,B,0.25637686870871546,0.3688825517006984
h00,1021574717937228960,p3,C,0.7843366438356164,1.748258420852359
h00,1026591750036320836,p1,A,0.0405217156286641,0.024493102708186883
h00,1026591750036320836,p1,B,0.3146638664805017,0.40590987998317984
h00,1026591750036320836,p1,C,1.3096010212765956,1.8959208156028369
h00,1026591750036320836,p2,A,0.06867914356182037,0.04835728111408392
h00,1026591750036320836,p2,B,0.2552868791385854,0.3669742136167209
h00,1026591750036320836,p2,C,0.9699456990476191,1.8825895428571429
h00,1026591750036320836,p3,A,0.07435522208492577,0.053766718282424714
h00,1026591750036320836,p3,B,0.24617955773157488,0.3665405169685769
h00,1026591750036320836,p3,C,1.1046945613207546,1.8231023584905661
h00,103568543989312214,p1,A,0.039777351046266105,0.024005470394008993
h00,103568543989312214,p1,B,0.295562218007593,0.38897426987794487
h00,103568543989312214,p1,C,1.379494023809524,2.0052379894179895
h00,103568543989312214,p2,A,0.06855725041921629,0.047267151825313554
h00,103568543989312214,p2,B,0.25737182157625466,0.36507390792888317
h00,103568543989312214,p2,C,0.9323171730769231,1.5634348461538463
h00,103568543989312214,p3,A,0.07823505747301616,0.05714959497289641
h00,103568543989312214,p3,B,0.2510588941015215,0.3645158718609668
h00,103568543989312214,p3,C,1.082179337398374,1.815765325203252
h00,1059344429161942577,p1,A,0.04009275312523185,0.023509271352439246
h00,1059344429161942577,p1,B,0.3142088150266686,0.4037356052383088
h00,1059344429161942577,p1,C,1.2060685495169081,1.8438456642512078
h00,1059344429161942577,p2,A,0.0669581282267965,0.046062344530353676
h00,1059344429161942577,p2,B,0.25594115239678594,0.3678584719339765
h00,1059344429161942577,p2,C,0.9223418546099291,1.7679390780141844
h00,1059344429161942577,p3,A,0.07730699963501082,0.055112679406509525
h00,1059344429161942577,p3,B,0.25538048376048406,0.3714368624392868
h00,1059344429161942577,p3,C,1.0083518619402985,1.6375178358208955
h00,1061286463616756465,p1,A,0.039362299243662746,0.023832641545182384
h00,1061286463616756465,p1,B,0.2990088347512682,0.3952137061700213
h00,1061286463616756465,p1,C,1.4179104814814816,1.8791087268518518
h00,1061286463616756465,p2,A,0.06741189131442968,0.046904880254155984
h00,1061286463616756465,p2,B,0.25921433181975534,0.36584998465285623
h00,1061286463616756465,p2,C,0.8302139156626506,1.6959958835341367
h00,1061286463616756465,p3,A,0.0766679420503779,0.054477603943505024
h00,1061286463616756465,p3,B,0.26375449370286197,0.37207884520846846
h00,1061286463616756465,p3,C,0.8318798800813009,1.6475840142276423
h00,1077681494354284445,p1,A,0.04072637701815523,0.02427923872554004
h00,1077681494354284445,p1,B,0.30730794514280685,0.4088480965379793
h00,1077681494354284445,p1,C,1.4717898644859813,2.0625342367601247
h00,1077681494354284445,p2,A,0.06838153407196788,0.047325387743530435
h00,1077681494354284445,p2,B,0.2568547123773886,0.36503554174147806
h00,1077681494354284445,p2,C,0.9391714459161148,1.7124556070640178
h00,1077681494354284445,p3,A,0.07760856187444498,0.05505880485395648
h00,1077681494354284445,p3,B,0.24904300759758272,0.36873544935383173
h00,1077681494354284445,p3,C,0.8187361515151516,1.6004855808080807
h00,1125400568553395400,p1,A,0.040680408901370056,0.024600778564921186
h00,1125400568553395400,p1,B,0.2943868402067712,0.40087005980053236
h00,1125400568553395400,p1,C,1.2210532337092732,1.9027786466165413
h00,1125400568553395400,p2,A,0.0683618041743023,0.04826798482356862
h00,1125400568553395400,p2,B,0.2537323818520774,0.3673348124925999
h00,1125400568553395400,p2,C,1.0994212693333334,1.7574915866666667
h00,1125400568553395400,p3,A,0.07670486507058114,0.05556869336749925
h00,1125400568553395400,p3,B,0.24690619735909167,0.3693842685658471
h00,1125400568553395400,p3,C,0.8883640485347984,1.6895080952380952
h00,1125644244035275340,p1,A,0.03976228290374484,0.0239184306945383
h00,1125644244035275340,p1,B,0.31865048019865716,0.4055219183704899
h00,1125644244035275340,p1,C,1.2302446615776081,1.8892631806615774
h00,1125644244035275340,p2,A,0.06804985744497395,0.04759140011064782
h00,1125644244035275340,p2,B,0.2559795454874923,0.36279056820491934
h00,1125644244035275340,p2,C,1.1187998100775194,1.8209783333333334
h00,1125644244035275340,p3,A,0.07617968007992854,0.053530527298226875
h00,1125644244035275340,p3,B,0.24927359998714027,0.3666489693239298
h00,1125644244035275340,p3,C,0.8789322908496732,1.6234778649237471
h00,1133874929495765677,p1,A,0.04045970501800075,0.024351878927807814
h00,1133874929495765677,p1,B,0.32329406831298674,0.41125575912078716
h00,1133874929495765677,p1,C,1.2604122045454544,1.8515567727272728
h00,1133874929495765677,p2,A,0.06959669908280923,0.04817043704288542
h00,1133874929495765677,p2,B,0.257662642463908,0.36832500982262983
h00,1133874929495765677,p2,C,0.9009358052208835,1.658769387550201
h00,1133874929495765677,p3,A,0.07808898319319368,0.055222946987016436
h00,1133874929495765677,p3,B,0.2507947300839238,0.36592046600373235
h00,1133874929495765677,p3,C,0.9761336511904762,1.754091130952381
h00,1152801672532746091,p1,A,0.04071157428505888,0.024836498285201514
h00,1152801672532746091,p1,B,0.3029887906878843,0.4044729828197946
h00,1152801672532746091,p1,C,1.5053566724941725,2.0247845687645687
h00,1152801672532746091,p2,A,0.06999909440506688,0.04880278517217268
h00,1152801672532746091,p2,B,0.2595216719894973,0.3670179419199803
h00,1152801672532746091,p2,C,0.9390050182072829,1.7532924229691875
h00,1152801672532746091,p3,A,0.07694297378722731,0.05620672397857881
h00,1152801672532746091,p3,B,0.2509116512455662,0.3653543694948319
h00,1152801672532746091,p3,C,0.8906010683453237,1.647985659472422
h00,1159453151904288212,p1,A,0.04027148977137794,0.02448713482896702
h00,1159453151904288212,p1,B,0.29768210269106465,0.3997458515008102
h00,1159453151904288212,p1,C,1.3302329905913979,2.0356037096774195
h00,1159453151904288212,p2,A,0.06771527339133049,0.04838363389643688
h00,1159453151904288212,p2,B,0.25937804073423987,0.3694414360307569
h00,1159453151904288212,p2,C,0.9780939427350427,1.896958811965812
h00,1159453151904288212,p3,A,0.0743304889844667,0.05405486066336927
h00,1159453151904288212,p3,B,0.25628426236393925,0.3709855969749593
h00,1159453151904288212,p3,C,0.8694576690476191,1.6516973809523812
h00,1159482635262466889,p1,A,0.03927753810973109,0.023772251070868305
h00,1159482635262466889,p1,B,0.2935250996607914,0.40601219907975455
