hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1021574717937228960,East Asian,0.7,8.925890912564992e-05,0.0,3.596301254639839e-05,5.456725378423555e-05,-6.356786024920146e-07,100.0
h00,1021574717937228960,East Asian,0.8,3.8991398936755165e-05,0.0,2.0248900708997675e-05,1.9178442932688704e-05,-2.1797235246561165e-07,99.99999999999999
h00,1021574717937228960,East Asian,0.9,1.8276676595861497e-05,0.0,1.1403477328372917e-05,7.03541408619725e-06,-8.110740935433514e-08,100.0
h00,1021574717937228960,East Asian,1.0,9.014765782322325e-06,0.0,6.422411547327734e-06,2.6573423770666694e-06,-3.2494071036039266e-08,100.0
h00,1021574717937228960,East Asian,1.1,4.613587887604375e-06,0.0,3.6171384237834646e-06,1.0240645049615398e-06,-1.3807520570313629e-08,100.00000000000006
h00,1021574717937228960,East Asian,1.2,2.4252009684888594e-06,0.0,2.0371978331991703e-06,4.0024296098935585e-07,-6.11991284983437e-09,99.99999999999991
h00,1021574717937228960,East Asian,1.3,1.2998084993006455e-06,0.0,1.1473638611611646e-06,1.5802303446732978e-07,-2.7891981639246353e-09,99.99999999999997
h00,1026591750036320836,African,0.7,5.856578525527672e-05,0.0,0.0,5.856578525527672e-05,0.0,100.0
h00,1026591750036320836,African,0.8,2.4196177993774085e-05,0.0,0.0,2.4196177993774085e-05,0.0,100.00000000000001
h00,1026591750036320836,African,0.9,1.0594188408835466e-05,0.0,0.0,1.0594188408835465e-05,0.0,99.99999999999999
h00,1026591750036320836,African,1.0,4.806943290770278e-06,0.0,0.0,4.80694329077028e-06,0.0,100.00000000000004
h00,1026591750036320836,African,1.1,2.229521063467506e-06,0.0,0.0,2.229521063467506e-06,0.0,100.0
h00,1026591750036320836,African,1.2,1.0486985650992568e-06,0.0,0.0,1.0486985650992568e-06,0.0,100.0
h00,1026591750036320836,African,1.3,4.979740528920168e-07,0.0,0.0,4.979740528920167e-07,0.0,99.99999999999997
h00,1026591750036320836,European,0.7,6.408539473013503e-05,0.0,3.3706412273858255e-07,6.387790270453475e-05,-6.47860485691233e-08,100.00000000000009
h00,1026591750036320836,European,0.8,3.43467842499821e-05,0.0,9.715107407205231e-08,3.428421145057018e-05,-1.7289137330070155e-08,99.99999999999999
