hXX,simID,pop,tau,Total_V_G,less_than_0_001_V_G,between_0_001_and_0_01_V_G,more_than_0_01_V_G,Covariance,Sum_Check (%)
h00,1021574717937228960,African,0.7,0.0003294809523179993,0.0,4.2575380769352136e-05,0.00025786549036099614,1.4520040593825474e-05,99.99999999999996
h00,1021574717937228960,African,0.8,0.00013697618989418612,0.0,2.0744727846654505e-05,0.00010344164008077758,6.394910983377003e-06,99.99999999999999
h00,1021574717937228960,African,0.9,6.026204572201574e-05,0.0,1.022171232730051e-05,4.436387016859285e-05,2.8382316130611808e-06,99.99999999999999
h00,1021574717937228960,African,1.0,2.753856026463598e-05,0.0,5.085403402573049e-06,1.9910405607666666e-05,1.271375627198134e-06,100.0
h00,1021574717937228960,African,1.1,1.2915931296610031e-05,0.0,2.5510717739563345e-06,9.215304431847585e-06,5.747775454030558e-07,100.0
h00,1021574717937228960,African,1.2,6.170134757623825e-06,0.0,1.2888441658418695e-06,4.357215175674673e-06,2.6203770805364083e-07,99.99999999999999
h00,1021574717937228960,African,1.3,2.9876272717922616e-06,0.0,6.551060670780313e-07,2.091870068957171e-06,1.2032556787852987e-07,100.00000000000003
h00,1021574717937228960,European,0.7,0.00020899395722218957,0.0,2.782421432888372e-07,0.00020941877829789527,-3.5153160949729864e-07,99.99999999999997
h00,1021574717937228960,European,0.8,6.975298601991012e-05,0.0,7.824904406270479e-08,6.9869983109301e-05,-9.762306672679293e-08,100.0
h00,1021574717937228960,European,0.9,2.4346301484958306e-05,0.0,2.2005699152378456e-08,2.4379122114857046e-05,-2.7413164525558365e-08,100.00000000000001
h00,1021574717937228960,European,1.0,8.798697947999825e-06,0.0,6.188584167200003e-09,8.808075496427235e-06,-7.78306629730316e-09,100.00000000000004
h00,1021574717937228960,European,1.1,3.2688173761257834e-06,0.0,1.7403934194192129e-09,3.271547384354965e-06,-2.2352008243003514e-09,100.0
h00,1021574717937228960,European,1.2,1.2419193300861665e-06,0.0,4.894446245736614e-10,1.242729154927903e-06,-6.496347331551634e-10,99.99999999999999
h00,1021574717937228960,European,1.3,4.806990665547524e-07,0.0,1.3764476344894172e-10,4.809437016609743e-07,-1.9113993483535432e-10,100.00000000000006
h00,1021574717937228960,East Asian,0.7,0.0003167783574243644,0.0,3.7894369557891484e-05,0.0002795976788718428,-3.568455026849443e-07,99.99999999999999
h00,1021574717937228960,East Asian,0.8,0.00011680958969899703,0.0,2.0964309672108846e-05,9.585449698938875e-05,-4.60848125028823e-09,100.0
h00,1021574717937228960,East Asian,0.9,4.6506488673672225e-05,0.0,1.16682107414494e-05,3.477607186261877e-05,3.110303480202785e-08,100.0
h00,1021574717937228960,East Asian,1.0,1.9812338224520754e-05,0.0,6.520255232446909e-06,1.3254861083392287e-05,1.8610954340780776e-08,100.00000000000003
h00,1021574717937228960,East Asian,1.1,8.939373372093267e-06,0.0,3.6532465660759168e-06,5.271248093936249e-06,7.439356040550299e-09,99.99999999999997
h00,1021574717937228960,East Asian,1.2,4.227919097337806e-06,0.0,2.050498371551743e-06,2.1734044112676563e-06,2.0081572592030653e-09,99.99999999999997
h00,1021574717937228960,East Asian,1.3,2.0760432427370987e-06,0.0,1.1522517753115737e-06,9.237754346397131e-07,8.016392906090278e-12,100.0
h00,1026591750036320836,African,0.7,0.00041826205926903204,0.0,2.2846178385051516e-06,0.0004176314924022923,-8.270254858827464e-07,99.99999999999997
h00,1026591750036320836,African,0.8,0.00020792385393404053,0.0,7.859619748963352e-07,0.00020770989473001698,-2.860013854364194e-07,99.99999999999997
h00,1026591750036320836,African,0.9,0.00011062188970371939,0.0,2.704596047390012e-07,0.00011055531677021804,-1.0194333561884534e-07,99.99999999999996
h00,1026591750036320836,African,1.0,6.164923224844611e-05,0.0,9.307775359230532e-08,6.163100218558565e-05,-3.742384536592497e-08,100.0
h00,1026591750036320836,African,1.1,3.554231338418702e-05,0.0,3.203353755981654e-08,3.5538532190091825e-05,-1.4126171732311645e-08,99.99999999999999
h00,1026591750036320836,African,1.2,2.103584429959437e-05,0.0,1.1024761412197231e-08,2.103576199103412e-05,-5.471226425974681e-09,99.99999999999999
h00,1026591750036320836,African,1.3,1.271471086694778e-05,0.0,3.794329552269248e-09,1.2715255300404928e-05,-2.169381504712117e-09,99.99999999999994
h00,1026591750036320836,European,0.7,0.00018959646724885763,0.0,4.002092177522335e-07,0.0001894755719836212,-1.3965697625787493e-07,100.00000000000004
h00,1026591750036320836,European,0.8,8.146095826967113e-05,0.0,1.115241326430691e-07,8.141102565585224e-05,-3.0795759412097575e-08,99.99999999999999
h00,1026591750036320836,European,0.9,3.854698700706165e-05,0.0,3.130689562486787e-08,3.8530471264456894e-05,-7.39557651005448e-09,100.0
h00,1026591750036320836,European,1.0,1.9499769496202598e-05,0.0,8.839388710493566e-09,1.9494999714254837e-05,-2.0348033813693133e-09,99.99999999999997
h00,1026591750036320836,European,1.1,1.0315513010284986e-05,0.0,2.507297540749841e-09,1.0314310993063672e-05,-6.526401597153121e-10,100.00000000000003
h00,1026591750036320836,European,1.2,5.6231451529559714e-06,0.0,7.138274625901012e-10,5.622903786504653e-06,-2.36230505634847e-10,100.00000000000003
h00,1026591750036320836,European,1.3,3.128930394027559e-06,0.0,2.0382962242561155e-10,3.128909823024993e-06,-9.162930993061575e-11,99.99999999999994
h00,1026591750036320836,East Asian,0.7,0.0005479553385301561,9.529245727336965e-08,0.0003285569824018757,0.00017640342106450412,2.144982130325142e-05,100.0
h00,1026591750036320836,East Asian,0.8,0.0003379934622545468,2.2995032644000422e-08,0.00025383458934464956,6.33133408301569e-05,1.0411268523548231e-05,100.00000000000003
h00,1026591750036320836,East Asian,0.9,0.0002303401143231551,5.548933687182978e-09,0.00019610600960827114,2.4026031655783304e-05,5.101262062706787e-06,100.00000000000003
h00,1026591750036320836,East Asian,1.0,0.0001660621793459361,1.3390137575119992e-09,0.000151506408578,9.521786461990178e-06,2.516322646094217e-06,100.00000000000003
h00,1026591750036320836,East Asian,1.1,0.00012344574252231148,3.231175472411588e-10,0.00011704991543122874,3.901188293868685e-06,1.2471578398333677e-06,99.99999999999993
h00,1026591750036320836,East Asian,1.2,9.330922257331606e-05,7.797152848461828e-11,9.042972393741552e-05,1.6391952490974835e-06,6.201127076373132e-07,100.00000000000006
h00,1026591750036320836,East Asian,1.3,7.118351715451691e-05,1.8815317540431035e-11,6.986365552909581e-05,7.020168273041252e-07,3.0891299139969423e-07,99.99999999999994
h00,103568543989312214,African,0.7,0.00045899764357629024,0.0,9.395172038313781e-05,0.00037474360714859195,-4.848841977719767e-06,100.0
h00,103568543989312214,African,0.8,0.00022346789613729776,0.0,6.068900045278319e-05,0.00016695460880757906,-2.0878565615322508e-06,100.0
h00,103568543989312214,African,0.9,0.000116201736956985,0.0,3.9206247952188834e-05,7.889328356015724e-05,-9.48897277680542e-07,100.0
h00,103568543989312214,African,1.0,6.315805975246787e-05,0.0,2.5328603927347237e-05,3.8735143000244785e-05,-4.528435875620684e-07,100.0
h00,103568543989312214,African,1.1,3.541813843920839e-05,0.0,1.636325527932844e-05,1.950523475928152e-05,-2.2517579970078452e-07,100.0
h00,103568543989312214,African,1.2,2.033215706827248e-05,0.0,1.0571302829834301e-05,9.99227549114322e-06,-1.157106263525275e-07,99.99999999999993
h00,103568543989312214,African,1.3,1.1888672668196462e-05,0.0,6.829473387814493e-06,5.181199195048972e-06,-6.099995733350414e-08,99.99999999999996
h00,103568543989312214,European,0.7,0.00024980889325288894,0.0,5.4260444846551446e-05,0.0001962928579981726,-3.7220479591756886e-07,100.0
h00,103568543989312214,European,0.8,0.00010629124423401069,0.0,3.241089112688035e-05,7.461719863815022e-05,-3.6842276550993653e-07,100.0
h00,103568543989312214,European,0.9,4.9984163085354955e-05,0.0,1.9359698701498106e-05,3.108721542370289e-05,-2.313755199230226e-07,100.0
h00,103568543989312214,European,1.0,2.5227362216797762e-05,0.0,1.1563950288980004e-05,1.391797922486372e-05,-1.2728364852298065e-07,100.0
h00,103568543989312214,European,1.1,1.3359331133601474e-05,0.0,6.907387782623529e-06,6.5844559957956485e-06,-6.625632240885057e-08,100.00000000000003
h00,103568543989312214,European,1.2,7.306690124596626e-06,0.0,4.12592624382038e-06,3.2480639811504296e-06,-3.365005018709246e-08,99.99999999999999
