pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p1,A,500,0,0,h00,1021574717937228960
p1,B,262,222,16,h00,1021574717937228960
p1,C,71,63,366,h00,1021574717937228960
p1,Non-ROH,500,0,0,h00,1021574717937228960
p2,A,500,0,0,h00,1021574717937228960
p2,B,416,84,0,h00,1021574717937228960
p2,C,34,81,385,h00,1021574717937228960
p2,Non-ROH,500,0,0,h00,1021574717937228960
p3,A,500,0,0,h00,1021574717937228960
p3,B,466,34,0,h00,1021574717937228960
p3,C,45,174,281,h00,1021574717937228960
p3,Non-ROH,500,0,0,h00,1021574717937228960
p1,A,499,1,0,h00,1026591750036320836
p1,B,218,268,14,h00,1026591750036320836
p1,C,64,77,359,h00,1026591750036320836
p1,Non-ROH,500,0,0,h00,1026591750036320836
p2,A,500,0,0,h00,1026591750036320836
p2,B,412,88,0,h00,1026591750036320836
p2,C,39,136,325,h00,1026591750036320836
p2,Non-ROH,500,0,0,h00,1026591750036320836
p3,A,500,0,0,h00,1026591750036320836
p3,B,448,52,0,h00,1026591750036320836
p3,C,35,71,394,h00,1026591750036320836
p3,Non-ROH,500,0,0,h00,1026591750036320836
p1,A,500,0,0,h00,103568543989312214
p1,B,216,265,19,h00,103568543989312214
p1,C,55,71,374,h00,103568543989312214
p1,Non-ROH,500,0,0,h00,103568543989312214
p2,A,500,0,0,h00,103568543989312214
p2,B,388,112,0,h00,103568543989312214
p2,C,46,84,370,h00,103568543989312214
p2,Non-ROH,500,0,0,h00,103568543989312214
p3,A,500,0,0,h00,103568543989312214
p3,B,466,34,0,h00,103568543989312214
p3,C,42,81,377,h00,103568543989312214
p3,Non-ROH,500,0,0,h00,103568543989312214
p1,A,500,0,0,h00,1059344429161942577
p1,B,235,251,14,h00,1059344429161942577
p1,C,53,85,362,h00,1059344429161942577
p1,Non-ROH,500,0,0,h00,1059344429161942577
p2,A,500,0,0,h00,1059344429161942577
p2,B,391,109,0,h00,1059344429161942577
p2,C,30,111,359,h00,1059344429161942577
p2,Non-ROH,500,0,0,h00,1059344429161942577
p3,A,500,0,0,h00,1059344429161942577
p3,B,451,49,0,h00,1059344429161942577
p3,C,41,93,366,h00,1059344429161942577
p3,Non-ROH,500,0,0,h00,1059344429161942577
p1,A,499,1,0,h00,1061286463616756465
p1,B,245,240,15,h00,1061286463616756465
p1,C,76,68,356,h00,1061286463616756465
p1,Non-ROH,500,0,0,h00,1061286463616756465
p2,A,500,0,0,h00,1061286463616756465
p2,B,419,81,0,h00,1061286463616756465
p2,C,42,124,334,h00,1061286463616756465
p2,Non-ROH,500,0,0,h00,1061286463616756465
p3,A,500,0,0,h00,1061286463616756465
p3,B,451,49,0,h00,1061286463616756465
p3,C,37,127,336,h00,1061286463616756465
p3,Non-ROH,500,0,0,h00,1061286463616756465
p1,A,500,0,0,h00,1077681494354284445
p1,B,268,220,12,h00,1077681494354284445
p1,C,50,57,393,h00,1077681494354284445
p1,Non-ROH,500,0,0,h00,1077681494354284445
p2,A,500,0,0,h00,1077681494354284445
p2,B,418,82,0,h00,1077681494354284445
p2,C,45,106,349,h00,1077681494354284445
p2,Non-ROH,500,0,0,h00,1077681494354284445
p3,A,500,0,0,h00,1077681494354284445
p3,B,446,54,0,h00,1077681494354284445
p3,C,45,153,302,h00,1077681494354284445
p3,Non-ROH,500,0,0,h00,1077681494354284445
p1,A,500,0,0,h00,1125400568553395400
p1,B,244,245,11,h00,1125400568553395400
p1,C,53,80,367,h00,1125400568553395400
p1,Non-ROH,500,0,0,h00,1125400568553395400
p2,A,500,0,0,h00,1125400568553395400
p2,B,412,88,0,h00,1125400568553395400
p2,C,45,80,375,h00,1125400568553395400
p2,Non-ROH,500,0,0,h00,1125400568553395400
p3,A,500,0,0,h00,1125400568553395400
p3,B,472,28,0,h00,1125400568553395400
p3,C,48,134,318,h00,1125400568553395400
p3,Non-ROH,500,0,0,h00,1125400568553395400
p1,A,500,0,0,h00,1125644244035275340
p1,B,238,249,13,h00,1125644244035275340
p1,C,69,62,369,h00,1125644244035275340
p1,Non-ROH,500,0,0,h00,1125644244035275340
p2,A,500,0,0,h00,1125644244035275340
p2,B,405,95,0,h00,1125644244035275340
p2,C,37,92,371,h00,1125644244035275340
p2,Non-ROH,500,0,0,h00,1125644244035275340
p3,A,500,0,0,h00,1125644244035275340
p3,B,450,50,0,h00,1125644244035275340
p3,C,33,120,347,h00,1125644244035275340
p3,Non-ROH,500,0,0,h00,1125644244035275340
p1,A,500,0,0,h00,1133874929495765677
p1,B,220,269,11,h00,1133874929495765677
p1,C,52,58,390,h00,1133874929495765677
p1,Non-ROH,500,0,0,h00,1133874929495765677
p2,A,500,0,0,h00,1133874929495765677
p2,B,387,113,0,h00,1133874929495765677
p2,C,39,127,334,h00,1133874929495765677
p2,Non-ROH,500,0,0,h00,1133874929495765677
p3,A,500,0,0,h00,1133874929495765677
p3,B,432,68,0,h00,1133874929495765677
