pop,category,len>0_score!=0,len>0_score==0,len==0_score==0,hXX,simID
p3,Non-ROH,500,0,0,h00,1152801672532746091
p1,A,408,92,0,h00,1159453151904288212
p1,B,75,413,12,h00,1159453151904288212
p1,C,21,103,376,h00,1159453151904288212
p1,Non-ROH,500,0,0,h00,1159453151904288212
p2,A,482,18,0,h00,1159453151904288212
p2,B,211,289,0,h00,1159453151904288212
p2,C,20,175,305,h00,1159453151904288212
p2,Non-ROH,500,0,0,h00,1159453151904288212
p3,A,497,3,0,h00,1159453151904288212
p3,B,273,227,0,h00,1159453151904288212
p3,C,10,130,360,h00,1159453151904288212
p3,Non-ROH,500,0,0,h00,1159453151904288212
p1,A,428,72,0,h00,1159482635262466889
p1,B,90,399,11,h00,1159482635262466889
p1,C,22,102,376,h00,1159482635262466889
p1,Non-ROH,500,0,0,h00,1159482635262466889
p2,A,493,7,0,h00,1159482635262466889
p2,B,209,291,0,h00,1159482635262466889
p2,C,35,96,369,h00,1159482635262466889
p2,Non-ROH,500,0,0,h00,1159482635262466889
p3,A,497,3,0,h00,1159482635262466889
p3,B,310,190,0,h00,1159482635262466889
p3,C,15,114,371,h00,1159482635262466889
p3,Non-ROH,500,0,0,h00,1159482635262466889
p1,A,440,60,0,h00,1187492628487565367
p1,B,82,409,9,h00,1187492628487565367
p1,C,24,108,368,h00,1187492628487565367
p1,Non-ROH,500,0,0,h00,1187492628487565367
p2,A,498,2,0,h00,1187492628487565367
p2,B,218,282,0,h00,1187492628487565367
p2,C,21,186,293,h00,1187492628487565367
p2,Non-ROH,500,0,0,h00,1187492628487565367
p3,A,489,11,0,h00,1187492628487565367
p3,B,272,228,0,h00,1187492628487565367
p3,C,10,153,337,h00,1187492628487565367
p3,Non-ROH,500,0,0,h00,1187492628487565367
p1,A,401,99,0,h00,1188344642156280027
p1,B,77,411,12,h00,1188344642156280027
p1,C,30,86,384,h00,1188344642156280027
p1,Non-ROH,500,0,0,h00,1188344642156280027
p2,A,489,11,0,h00,1188344642156280027
p2,B,157,343,0,h00,1188344642156280027
p2,C,10,134,356,h00,1188344642156280027
p2,Non-ROH,500,0,0,h00,1188344642156280027
p3,A,482,18,0,h00,1188344642156280027
p3,B,175,325,0,h00,1188344642156280027
p3,C,14,169,317,h00,1188344642156280027
p3,Non-ROH,500,0,0,h00,1188344642156280027
p1,A,416,84,0,h00,1194843192800477130
p1,B,87,400,13,h00,1194843192800477130
p1,C,30,104,366,h00,1194843192800477130
p1,Non-ROH,500,0,0,h00,1194843192800477130
p2,A,487,13,0,h00,1194843192800477130
p2,B,214,286,0,h00,1194843192800477130
p2,C,19,122,359,h00,1194843192800477130
p2,Non-ROH,500,0,0,h00,1194843192800477130
p3,A,496,4,0,h00,1194843192800477130
p3,B,275,225,0,h00,1194843192800477130
p3,C,25,157,318,h00,1194843192800477130
p3,Non-ROH,500,0,0,h00,1194843192800477130
p1,A,447,53,0,h00,1230211016193901463
p1,B,101,383,16,h00,1230211016193901463
p1,C,28,91,381,h00,1230211016193901463
p1,Non-ROH,500,0,0,h00,1230211016193901463
p2,A,493,7,0,h00,1230211016193901463
p2,B,279,221,0,h00,1230211016193901463
p2,C,9,164,327,h00,1230211016193901463
p2,Non-ROH,500,0,0,h00,1230211016193901463
p3,A,496,4,0,h00,1230211016193901463
p3,B,324,176,0,h00,1230211016193901463
p3,C,20,129,351,h00,1230211016193901463
p3,Non-ROH,500,0,0,h00,1230211016193901463
p1,A,469,31,0,h00,1288692866185240971
p1,B,132,346,22,h00,1288692866185240971
p1,C,31,108,361,h00,1288692866185240971
p1,Non-ROH,500,0,0,h00,1288692866185240971
p2,A,500,0,0,h00,1288692866185240971
p2,B,265,235,0,h00,1288692866185240971
p2,C,35,101,364,h00,1288692866185240971
p2,Non-ROH,500,0,0,h00,1288692866185240971
