pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID
p1,0.7,0.0719498035787002,0.0740224316653294,0.166721692442495,0.0429212336479486,0.141318891738824,0.0233140501148278,0.0354699508485219,0.1033255089935203,0.007927707648521,0.0152388441409784,0.0152388441409784,0.8020365497941562,h00,1021574717937228960
p1,0.8,0.0513984620907638,0.0528790762250656,0.1702934636401806,0.0323590808139912,0.1065428239045697,0.0245890104954346,0.0255268739934937,0.074360893807134,0.0082993927173247,0.0099006459425537,0.0099006459425537,0.7968181331470601,h00,1021574717937228960
p1,0.9,0.0364177119448479,0.0374667818362633,0.1735126980053387,0.0240961558845083,0.0793370030483131,0.0257498385805787,0.0179104679663931,0.0521739719021019,0.0086469294137688,0.0062619553045977,0.0062619553045977,0.7920905340003137,h00,1021574717937228960
p1,1.0,0.0259249372579899,0.0266717461501953,0.176348967186038,0.0179146311402797,0.0589842276999686,0.0267967369602616,0.0123710973700555,0.0360375445127704,0.0089643923807783,0.0039043409320865,0.0039043409320865,0.7878899034729219,h00,1021574717937228960
p1,1.1,0.018707604376957,0.0192465065606553,0.1788069623248631,0.0133924284741321,0.044094798513469,0.0277401633963842,0.0084690169015051,0.0246706144522107,0.0092492631308916,0.0024251028448769,0.0024251028448769,0.784203611147861,h00,1021574717937228960
p1,1.2,0.0137526721985739,0.0141488397104669,0.1809138010019782,0.0101051969476957,0.0332715328073791,0.0285938127606487,0.0057705477549169,0.0168098565034535,0.0095017786142656,0.0015139296155426,0.0015139296155426,0.7809906076231072,h00,1021574717937228960
p1,1.3,0.0103199868530261,0.010617270424924,0.1827084143362241,0.0077068027913425,0.02537477925857,0.029370700545759,0.0039233875728442,0.0114289985817636,0.0097240118632537,0.0009575157712056,0.0009575157712056,0.7781968732547629,h00,1021574717937228960
p2,0.7,0.0336067735076421,0.0337417404695201,0.1796080074812473,0.0383591011805813,0.0729260478718277,0.0511972891637986,0.0115390839196083,0.0631902214645217,0.0023215785267968,0.0155087186684707,0.0155087186684707,0.7668731248281572,h00,1021574717937228960
p2,0.8,0.0223548067667025,0.022444585107131,0.1799691032226908,0.031486018724646,0.05985935118754,0.0538764816474183,0.0071969790726456,0.0394120282549641,0.0022601555473748,0.0098763664214238,0.0098763664214238,0.7638942595825159,h00,1021574717937228960
p2,0.9,0.014690424827445,0.0147494225175151,0.1803014342412155,0.0261557131521727,0.0497256904033702,0.0562310086426952,0.0043475428402881,0.0238079726968162,0.0022011522819255,0.0060963824820096,0.0060963824820096,0.7612664048341635,h00,1021574717937228960
p2,1.0,0.0097013570025443,0.0097403182756469,0.1806065346508759,0.022111455742372,0.0420369881033688,0.058296893045268,0.0025701791487362,0.014074790576413,0.0021457449592659,0.0036866586995911,0.0036866586995911,0.7589508273445901,h00,1021574717937228960
p2,1.1,0.0065310759466137,0.0065573051672828,0.1808932491477491,0.0190144231287391,0.0361490934006448,0.0601170385031855,0.0014980622988006,0.0082036744934323,0.0020945681300713,0.0022016132881579,0.0022016132881579,0.7568951442189938,h00,1021574717937228960
p2,1.2,0.004529226845042,0.0045474165110864,0.1811712553029859,0.0165704320664387,0.0315027225597693,0.061728444634818,0.0008651040862677,0.0047374747581331,0.0020479116902954,0.0013056527234272,0.0013056527234272,0.7550523883719005,h00,1021574717937228960
p2,1.3,0.0032544304047426,0.0032675004063681,0.1814482730613442,0.0145676340595837,0.0276951217862808,0.0631597655874307,0.0004965485261279,0.0027191943097483,0.0020058454085604,0.0007719770029891,0.0007719770029891,0.7533861159426647,h00,1021574717937228960
p3,0.7,0.0420594934256528,0.0420594934256528,0.1956503011348027,0.0411011099265416,0.0555420404412725,0.0723360939814739,0.0952433692701833,0.7192516506955229,0.0068061936383899,0.0195301154111461,0.0195301154111461,0.7252074112453335,h00,1021574717937228960
p3,0.8,0.0288410796843019,0.0288410796843019,0.1905366433698143,0.0304879445762885,0.0411999251030926,0.0738234383132852,0.1052369397750654,0.7947203383013566,0.0072218252773716,0.013275010193101,0.013275010193101,0.7284180930395286,h00,1021574717937228960
p3,0.9,0.0196239988398213,0.0196239988398213,0.1853910240761944,0.022520605323962,0.0304332504377865,0.0748734426843296,0.1135606375116361,0.8575786074154592,0.0075395500872512,0.0088088134367375,0.0088088134367375,0.7321959831522246,h00,1021574717937228960
p3,1.0,0.0134309178186164,0.0134309178186164,0.1802973089694346,0.0167847487529001,0.0226820929093245,0.075530073655269,0.1202542290925594,0.9081267645265696,0.0077729605364628,0.0057632444892607,0.0057632444892607,0.7363996568388333,h00,1021574717937228960
p3,1.1,0.0093361474114882,0.0093361474114882,0.1753576019227129,0.0127248367623719,0.0171957253545566,0.0758559914663898,0.1255119103680394,0.9478313231241596,0.0079376764382948,0.0037435461920348,0.0037435461920348,0.7408487301726024,h00,1021574717937228960
p3,1.2,0.0066285520685915,0.0066285520685915,0.1706674804971883,0.0098454629569186,0.0133046796715117,0.0759195796806157,0.1295498216557457,0.9783245152623554,0.0080489857449961,0.00242458080074,0.00242458080074,0.7453639540771999,h00,1021574717937228960
p3,1.3,0.0048175236348999,0.0048175236348999,0.1663010489046182,0.0077726808485104,0.0105036227682573,0.0757865633226834,0.132567980119105,1.001116815382207,0.0081204975418127,0.001569752876684,0.001569752876684,0.7497918902308855,h00,1021574717937228960
p1,0.7,0.0438675443950702,0.0527254139363825,0.2263631946153863,0.0539342613025387,0.3236055678152322,0.0305879452633944,0.0208994214038121,0.0920880755605474,0.0083232108830204,0.0045049452870701,0.0045049452870701,0.7347256492381988,h00,1026591750036320836
p1,0.8,0.0319306113155722,0.0383781386004474,0.2336840616241539,0.0460714875090717,0.2764289250544306,0.0318935363894066,0.0151954496759126,0.0669549501344903,0.0086163578688196,0.0026407187768277,0.0026407187768277,0.7258060441176196,h00,1026591750036320836
p1,0.9,0.0233214655733289,0.0280306076602511,0.2396403261359317,0.0387689465050671,0.2326136790304028,0.0328784337091967,0.0108499220634008,0.0478074690918599,0.0088496876055076,0.0015120346383853,0.0015120346383853,0.718631552549364,h00,1026591750036320836
p1,1.0,0.0173243625024771,0.0208225510847081,0.2444840600368529,0.0324751400412091,0.1948508402472547,0.0336131316014066,0.0076919515205769,0.0338926613875422,0.0090334088350561,0.0008560903908789,0.0008560903908789,0.7128693995266843,h00,1026591750036320836
p1,1.1,0.0131792646253937,0.0158404622901367,0.2484411428800538,0.0272635981470673,0.163581588882404,0.0341585716229725,0.0054482784218473,0.0240064767962647,0.0091769738537173,0.0004830703165194,0.0004830703165194,0.7082233116432562,h00,1026591750036320836
p1,1.2,0.0102817679718648,0.0123578941969529,0.2517013708194413,0.0230215858390844,0.1381295150345067,0.0345629258707591,0.0038657266827383,0.0170333581958159,0.0092885339515574,0.0002728523368739,0.0002728523368739,0.7044471693582423,h00,1026591750036320836
p1,1.3,0.0082103504622322,0.009868209690183,0.2544180661070292,0.0195831964244172,0.1174991785465035,0.0348625943357793,0.0027492582616481,0.0121139192153873,0.0093748626884622,0.0001546190355799,0.0001546190355799,0.7013444768687291,h00,1026591750036320836
p2,0.7,0.031744926572152,0.0320655823961132,0.2641148794138004,0.0114726628844959,0.0329674220818848,0.0319733284510323,0.0066462604170531,0.096924631082025,0.0043173288305832,0.008173817309781,0.008173817309781,0.699594463304584,h00,1026591750036320836
p2,0.8,0.0221031378215803,0.0223264018399801,0.2576105192942526,0.0077062494909313,0.0221443950888833,0.0320455071483718,0.0044088072664295,0.0642951059687642,0.0044382879355309,0.0053932763939406,0.0053932763939406,0.7059056856218446,h00,1026591750036320836
p2,0.9,0.0156230522846678,0.0157808608936039,0.2504970085023256,0.00504651247774,0.0145014726371841,0.0320923059092041,0.0028175840310054,0.041089767118829,0.0045272787696786,0.0034738216985339,0.0034738216985339,0.7128834068187916,h00,1026591750036320836
p2,1.0,0.0115094628962649,0.0116257200972372,0.2432564596961609,0.0032582631400614,0.009362825115119,0.0321221042358035,0.0017587630187095,0.0256486273561807,0.0045894581666059,0.0022077094648492,0.0022077094648492,0.7200319779014296,h00,1026591750036320836
p2,1.1,0.008994046131549,0.0090848950823727,0.2362148479316978,0.0020892336749925,0.0060035450430819,0.0321411710978452,0.001082204460075,0.0157821483760946,0.0046298381082517,0.0013942414714324,0.0013942414714324,0.7270141428622053,h00,1026591750036320836
p2,1.2,0.0074957711903307,0.0075714860508391,0.2295775999301341,0.0013357809839898,0.003838451103419,0.0321540202977027,0.0006600218942773,0.009625319291544,0.0046528716285209,0.0008786397253207,0.0008786397253207,0.7336155081436423,h00,1026591750036320836
p2,1.3,0.0066236951196821,0.006690601130992,0.2234626123063828,0.0008533564854505,0.0024521738087658,0.0321638189644569,0.0004002498500145,0.0058369769793788,0.0046623201653501,0.0005539596570371,0.0005539596570371,0.7397112485638102,h00,1026591750036320836
p3,0.7,0.0319696138368323,0.033232446815834,0.2691607650647106,0.0202226148036569,0.0439622060949063,0.0672137255202109,0.0856910498686724,0.6488036632913768,0.0077791464616261,0.0084218086852794,0.0084218086852794,0.6558463629534522,h00,1026591750036320836
p3,0.8,0.0225932388173372,0.0234856952363172,0.2671207910063352,0.0147811112525344,0.0321328505489878,0.06808458796009,0.0830899612224954,0.629109706398894,0.0081102386792156,0.0055635064834243,0.0055635064834243,0.656684382354359,h00,1026591750036320836
p3,0.9,0.015787132804495,0.0164107409610135,0.264301385390891,0.0106822133301799,0.0232222028916955,0.0685393091299371,0.0786563171481443,0.595540686978807,0.0083684850765858,0.0035890839550726,0.0035890839550726,0.658790820402586,h00,1026591750036320836
p3,1.0,0.0110690871089844,0.0115063275561169,0.2611472842561164,0.0077423957677316,0.0168312951472426,0.0687065551045112,0.0733034470068009,0.5550118130514928,0.0085770034631481,0.0022838215936268,0.0022838215936268,0.661569157176224,h00,1026591750036320836
p3,1.1,0.0078666766342668,0.0081774185387389,0.2579513931642495,0.0056788767611802,0.0123453842634353,0.068684658310527,0.0676251953168995,0.5120193359708108,0.0087506603999544,0.0014426772730821,0.0014426772730821,0.664613288125269,h00,1026591750036320836
p3,1.2,0.0057008116478788,0.0059259996339696,0.2548915322346466,0.0042340950186539,0.0092045543883781,0.0685443200975952,0.0619423998957413,0.4689924563534698,0.0088987407113628,0.0009078438310701,0.0009078438310701,0.6676654069563953,h00,1026591750036320836
p3,1.3,0.0042251606675933,0.0043920589060222,0.2520657621323549,0.0032133787271849,0.0069856059286629,0.0683342958877436,0.0564213028497041,0.427189864433474,0.0090271145013245,0.0005701183421434,0.0005701183421434,0.6705728274785768,h00,1026591750036320836
p1,0.7,0.0339951968212263,0.0460639523322849,0.1800053840626051,0.0752936525590204,0.4162786997803316,0.0359290700730847,0.0069772407583275,0.0488406853082929,0.0079656655366601,0.0022762913680675,0.0022762913680675,0.77609988032765,h00,103568543989312214
p1,0.8,0.0274673235744757,0.0372185956293709,0.1856859307086783,0.0736509838897769,0.4071968189768125,0.037164822591258,0.0041783210593732,0.0292482474156124,0.0083133504631953,0.0011852396769222,0.0011852396769222,0.7688358962368682,h00,103568543989312214
