"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.8,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,121198,0.000000000000000000000000000000000000000000000000000000000000000000000000218,0.000000000000000000000000000000000000000000000000000000000000000000000000872,"***"
"African",0.8,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,123451,0.000000000000000000000000000000000000000000000000000000000000000000000000000000539,0.0000000000000000000000000000000000000000000000000000000000000000000000000000027,"***"
"African",0.8,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,125233,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000014,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000084,"***"
"African",0.8,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,96804,0.0000000000000000000000000394,0.0000000000000000000000000394,"***"
"African",0.8,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,22231,0.00000000000000000000000000000000000778,0.0000000000000000000000000000000000156,"***"
"African",0.8,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,9455,0.000000000000000000000000000000000000000000000000000000000000848,0.00000000000000000000000000000000000000000000000000000000000254,"***"
"African",0.8,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,117388,0.00000000000000000000000000000000000000000000000000000000000000022,0.00000000000000000000000000000000000000000000000000000000000000088,"***"
"African",0.8,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,119443,0.00000000000000000000000000000000000000000000000000000000000000000000364,0.0000000000000000000000000000000000000000000000000000000000000000000182,"***"
"African",0.8,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"mixed","per_cM_all_log","Medium ROH","Long ROH",500,500,90558,0.00000000000000000554,0.0000000000000000166,"***"
"African",0.8,"mixed","per_cM_all_log","Medium ROH","Non-ROH",500,500,72229,0.003,0.003,"**"
"African",0.8,"mixed","per_cM_all_log","Long ROH","Non-ROH",500,500,35890,0.000000000000000133,0.000000000000000266,"***"
"African",0.9,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,39551,0.000000000000945,0.00000000000284,"***"
"African",0.9,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,58003,0.153,0.153,"ns"
"African",0.9,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,70734,0.012,0.024,"*"
"African",0.9,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125187,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000185,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,122280,0.00000000000000000000000000000000000000000000000000000000000000000000000000047,0.00000000000000000000000000000000000000000000000000000000000000000000000000188,"***"
"African",0.9,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,122348,0.000000000000000000000000000000000000000000000000000000000000000000000000000318,0.00000000000000000000000000000000000000000000000000000000000000000000000000159,"***"
"African",0.9,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.9,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,96964,0.0000000000000000000000000232,0.0000000000000000000000000464,"***"
"African",0.9,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,36844,0.00000000000000151,0.00000000000000151,"***"
"African",0.9,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,15550,0.00000000000000000000000000000000000000000000000478,0.0000000000000000000000000000000000000000000000143,"***"
"African",0.9,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,119453,0.00000000000000000000000000000000000000000000000000000000000000000000345,0.0000000000000000000000000000000000000000000000000000000000000000000138,"***"
"African",0.9,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,123046,0.00000000000000000000000000000000000000000000000000000000000000000000000000000569,0.0000000000000000000000000000000000000000000000000000000000000000000000000000284,"***"
"African",0.9,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,124886,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000112,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000672,"***"
"African",0.9,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,96572,0.0000000000000000000000000844,0.0000000000000000000000000844,"***"
"African",0.9,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,21423,0.000000000000000000000000000000000000325,0.00000000000000000000000000000000000065,"***"
