"pop","tau","hXX",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"African",0.7,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,56558,0.06,0.086,"ns"
"African",0.7,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,52603,0.002,0.006,"**"
"African",0.7,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,56079,0.043,0.086,"ns"
"African",0.7,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,125200,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000171,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000855,"***"
"African",0.7,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,125120,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000277,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000111,"***"
"African",0.7,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,102908,0.000000000000000000000000000000000012,0.000000000000000000000000000000000024,"***"
"African",0.7,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,64698,0.521,0.521,"ns"
"African",0.7,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,19368,0.0000000000000000000000000000000000000000766,0.00000000000000000000000000000000000000023,"***"
"African",0.7,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,125133,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000256,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000128,"***"
"African",0.7,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,124992,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000596,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000238,"***"
"African",0.7,"dominant","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"dominant","per_cM_all_log","Medium ROH","Long ROH",500,500,108099,0.00000000000000000000000000000000000000000000594,0.0000000000000000000000000000000000000000000119,"***"
"African",0.7,"dominant","per_cM_all_log","Medium ROH","Non-ROH",500,500,21288,0.00000000000000000000000000000000000019,0.00000000000000000000000000000000000019,"***"
"African",0.7,"dominant","per_cM_all_log","Long ROH","Non-ROH",500,500,4970,0.0000000000000000000000000000000000000000000000000000000000000000000000366,0.00000000000000000000000000000000000000000000000000000000000000000000011,"***"
"African",0.7,"mixed","per_cM_all_log","Short ROH","Medium ROH",500,500,124959,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000726,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000363,"***"
"African",0.7,"mixed","per_cM_all_log","Short ROH","Long ROH",500,500,124192,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000694,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000278,"***"
"African",0.7,"mixed","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.7,"mixed","per_cM_all_log","Medium ROH","Long ROH",500,500,92586,0.0000000000000000000188,0.0000000000000000000376,"***"
"African",0.7,"mixed","per_cM_all_log","Medium ROH","Non-ROH",500,500,106112,0.0000000000000000000000000000000000000000293,0.0000000000000000000000000000000000000000879,"***"
"African",0.7,"mixed","per_cM_all_log","Long ROH","Non-ROH",500,500,55493,0.027,0.027,"*"
"African",0.8,"recessive","per_cM_all_log","Short ROH","Medium ROH",500,500,29529,0.00000000000000000000000133,0.00000000000000000000000399,"***"
"African",0.8,"recessive","per_cM_all_log","Short ROH","Long ROH",500,500,32056,0.00000000000000000000317,0.00000000000000000000634,"***"
"African",0.8,"recessive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"recessive","per_cM_all_log","Medium ROH","Long ROH",500,500,52773,0.002,0.002,"**"
"African",0.8,"recessive","per_cM_all_log","Medium ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"recessive","per_cM_all_log","Long ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"additive","per_cM_all_log","Short ROH","Medium ROH",500,500,124819,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000168,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000084,"***"
"African",0.8,"additive","per_cM_all_log","Short ROH","Long ROH",500,500,124582,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000688,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000275,"***"
"African",0.8,"additive","per_cM_all_log","Short ROH","Non-ROH",500,500,125250,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000127,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000762,"***"
"African",0.8,"additive","per_cM_all_log","Medium ROH","Long ROH",500,500,99389,0.00000000000000000000000000000565,0.0000000000000000000000000000113,"***"
"African",0.8,"additive","per_cM_all_log","Medium ROH","Non-ROH",500,500,53301,0.004,0.004,"**"
"African",0.8,"additive","per_cM_all_log","Long ROH","Non-ROH",500,500,19675,0.000000000000000000000000000000000000000274,0.000000000000000000000000000000000000000822,"***"
"African",0.8,"dominant","per_cM_all_log","Short ROH","Medium ROH",500,500,124349,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000274,0.000000000000000000000000000000000000000000000000000000000000000000000000000000011,"***"
"African",0.8,"dominant","per_cM_all_log","Short ROH","Long ROH",500,500,124437,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000163,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000815,"***"
