pop,tau,A_per_cM_mean_all,A_per_cM_mean_nonzero,A_proportion_mean,B_per_cM_mean_all,B_per_cM_mean_nonzero,B_proportion_mean,C_per_cM_mean_all,C_per_cM_mean_nonzero,C_proportion_mean,Non-ROH_per_cM_mean_all,Non-ROH_per_cM_mean_nonzero,Non-ROH_proportion_mean,hXX,simID,ROH_caller
p1,0.7,0.0856065739071766,0.0856065739071766,0.2153519353118705,0.064100503506608,0.1184146705999935,0.0346920896077985,0.0752849748653536,0.1420871356613716,0.0151818345454893,0.0124895930906714,0.0124895930906714,0.7347741405348416,h00,1021574717937228960,GARLIC
p1,0.8,0.0683078719721482,0.0683078719721482,0.2282611171538165,0.0566495194709707,0.10465025734332,0.0381225777600221,0.0678346932749929,0.1280260408288598,0.0171539303730716,0.008336727870256,0.008336727870256,0.7164623747130895,h00,1021574717937228960,GARLIC
p1,0.9,0.0546502462860689,0.0546502462860689,0.2402643195631805,0.0501699248272339,0.0926803191464931,0.0411914159841916,0.0605205150412528,0.1142218171201109,0.0190355453112236,0.0054800508790285,0.0054800508790285,0.6995087191414043,h00,1021574717937228960,GARLIC
p1,1.0,0.0440574901378304,0.0440574901378304,0.2512046062784892,0.0446519380367941,0.0824867862969784,0.0438593217047328,0.0537283667463199,0.1014028330141813,0.0207802558203026,0.0035842822042997,0.0035842822042997,0.6841558161964754,h00,1021574717937228960,GARLIC
p1,1.1,0.0359055089044007,0.0359055089044007,0.2610795712482026,0.040010059671568,0.0739117132864081,0.0461368285768382,0.0476877517052333,0.0900022356126939,0.0223652646000656,0.0023586762405468,0.0023586762405468,0.6704183355748935,h00,1021574717937228960,GARLIC
p1,1.2,0.0296221501153741,0.0296221501153741,0.2699607524188699,0.0361160149240815,0.0667181344399064,0.0480600646908128,0.0424753985436017,0.0801648366879244,0.0237847532953472,0.0015794936313509,0.0015794936313509,0.6581944295949699,h00,1021574717937228960,GARLIC
p1,1.3,0.0247377889091294,0.0247377889091294,0.2779435485713667,0.0328337410745833,0.0606546972522837,0.049674882772836,0.0380649818719072,0.0718409517019095,0.0250433482921137,0.0010885069714574,0.0010885069714574,0.6473382203636834,h00,1021574717937228960,GARLIC
p2,0.7,0.0607879618417038,0.0607879618417038,0.2926144450938797,0.0412575925228304,0.0495884525514789,0.0639304148563671,0.0160945367426503,0.0544374036883762,0.0029986282215433,0.0136199508445222,0.0136199508445222,0.6404565118282098,h00,1021574717937228960,GARLIC
p2,0.8,0.0470843011053605,0.0470843011053605,0.3078830118717637,0.0334168382332275,0.0401644690303215,0.0675529605194916,0.012072114349365,0.0408321514757934,0.003063395324031,0.0091115382796522,0.0091115382796522,0.6215006322847134,h00,1021574717937228960,GARLIC
p2,0.9,0.0362918026880452,0.0362918026880452,0.3225470270097119,0.0271728477610116,0.0326596727896774,0.0706721387444173,0.0091226732413783,0.030856100669368,0.0031293490583051,0.0059774396231194,0.0059774396231194,0.6036514851875656,h00,1021574717937228960,GARLIC
p2,1.0,0.027964468253057,0.027964468253057,0.3361594401303338,0.0223295009926167,0.0268383425392027,0.0733029182850999,0.0069870526623004,0.0236326781224868,0.0031967389446792,0.0038730410825986,0.0038730410825986,0.5873409026398869,h00,1021574717937228960,GARLIC
p2,1.1,0.0216164258039619,0.0216164258039619,0.3484894944918313,0.0186107494882808,0.0223686892887991,0.0754923781310963,0.0054393893849591,0.0183979346844205,0.0032660301296503,0.0024948131013853,0.0024948131013853,0.5727520972474219,h00,1021574717937228960,GARLIC
p2,1.2,0.0167973080077704,0.0167973080077704,0.3594788447548052,0.0157433341992725,0.0189222766818179,0.0772981980620437,0.0043039592196695,0.0145575091253529,0.0033375571874621,0.0016060803889594,0.0016060803889594,0.5598853999956889,h00,1021574717937228960,GARLIC
p2,1.3,0.0131327045362513,0.0131327045362513,0.3691792455498686,0.0134993153970908,0.0162251386984265,0.0787772741084682,0.0034544194173846,0.0116840656764479,0.0034113363256931,0.0010374508947023,0.0010374508947023,0.5486321440159699,h00,1021574717937228960,GARLIC
p3,0.7,0.0756733383010909,0.0756733383010909,0.3285359780694746,0.0493235019738829,0.0529222124183293,0.0877881388223684,0.0570698062612963,0.2777397238049754,0.0083639308864402,0.0156125801561126,0.0156125801561126,0.5753119522217166,h00,1021574717937228960,GARLIC
p3,0.8,0.059895897862722,0.059895897862722,0.3418973531047142,0.0395399197742648,0.0424248066247476,0.0926882396817229,0.0610414519605798,0.2970683995414888,0.0093144567803595,0.010769218760328,0.010769218760328,0.5560999504332034,h00,1021574717937228960,GARLIC
p3,0.9,0.0471776526054881,0.0471776526054881,0.3544064873191635,0.0314204546042704,0.0337129341247536,0.0969657842116176,0.0648141178514362,0.3154287068769897,0.0101654209597898,0.0072902454898786,0.0072902454898786,0.538462307509429,h00,1021574717937228960,GARLIC
p3,1.0,0.037178227761585,0.037178227761585,0.3657520247098559,0.0249170026421965,0.0267349813757473,0.1005966169835428,0.0682939291619716,0.332363788588262,0.0109082263591287,0.0048725645665567,0.0048725645665567,0.5227431319474726,h00,1021574717937228960,GARLIC
p3,1.1,0.029447473139654,0.029447473139654,0.3757911286440151,0.019821303334532,0.0212674928482103,0.1036118805295688,0.0714870577136545,0.3479036808731189,0.0115444124237027,0.0032323205007466,0.0032323205007466,0.5090525784027132,h00,1021574717937228960,GARLIC
p3,1.2,0.0235207956308265,0.0235207956308265,0.3845060353043401,0.0158682196541823,0.0170259867534144,0.1060776739964445,0.0744431386153096,0.3622899412611735,0.0120811290410124,0.0021366833727745,0.0021366833727745,0.4973351616582029,h00,1021574717937228960,GARLIC
p3,1.3,0.0189842926281723,0.0189842926281723,0.3919594973212011,0.0128041716552004,0.0137383816042922,0.1080752172044466,0.0772194147246358,0.3758011516598942,0.0125285892724592,0.0014112925421422,0.0014112925421422,0.487436696201893,h00,1021574717937228960,GARLIC
p1,0.7,0.0677652655689573,0.067901067704366,0.2186638559788506,0.0657033226695665,0.1464762147587584,0.0385040380885325,0.0838058810089928,0.1846348315979374,0.0170837879986083,0.0087750697365013,0.0087750697365013,0.7257483179340085,h00,1026591750036320836,GARLIC
p1,0.8,0.0452531019418072,0.0453437895208489,0.2327646484904008,0.0505941228945902,0.1127924024163801,0.0432657451028264,0.0728665036021446,0.1605340157484748,0.0188672421957923,0.0046632994655162,0.0046632994655162,0.7051023642109804,h00,1026591750036320836,GARLIC
p1,0.9,0.0300442327194559,0.0301044416026612,0.2454704881256612,0.0381883051215495,0.0851353958214361,0.0474815298168915,0.0629625755816994,0.1387144243284315,0.0204191354462321,0.0024044232236755,0.0024044232236755,0.686628846611215,h00,1026591750036320836,GARLIC
p1,1.0,0.0201480767150514,0.020188453622296,0.2566267670814914,0.0286139405490589,0.0637907114992782,0.051100021690143,0.0545001034373067,0.1200705403853163,0.0217526577273022,0.0012288253569254,0.0012288253569254,0.6705205535010632,h00,1026591750036320836,GARLIC
p1,1.1,0.0137583964220449,0.0137859683587624,0.2662565544890032,0.0214406024403622,0.0477987742477799,0.0541369084965858,0.0474239325777061,0.1044808514602589,0.0228874313828146,0.0006325022980059,0.0006325022980059,0.6567191056315964,h00,1026591750036320836,GARLIC
p1,1.2,0.009593605405174,0.0096128310673086,0.2744855202312164,0.0161269919193448,0.0359528351963375,0.0566438914656421,0.0415253382237493,0.0914855107741977,0.0238467247806421,0.0003320208499746,0.0003320208499746,0.6450238635224992,h00,1026591750036320836,GARLIC
p1,1.3,0.006829956284008,0.0068436435711503,0.2814841902286542,0.0121980835635505,0.0271938927150714,0.0586890085982574,0.0365844001709036,0.0806000066265219,0.024654879054881,0.0001796211136825,0.0001796211136825,0.6351719221182073,h00,1026591750036320836,GARLIC
p2,0.7,0.04392009114992,0.04392009114992,0.2960147048618848,0.0233341744822029,0.0283181729152948,0.0438696461519442,0.008189882861664,0.0367494743792619,0.0036396445811988,0.0098432850547824,0.0098432850547824,0.6564760044049722,h00,1026591750036320836,GARLIC
p2,0.8,0.0272666799602118,0.0272666799602118,0.3047563339720701,0.0155523054227758,0.0188741570664755,0.0467053139812646,0.004558143693898,0.0204532088828756,0.0036940414359188,0.0053597642292282,0.0053597642292282,0.6448443106107463,h00,1026591750036320836,GARLIC
p2,0.9,0.0168309980463139,0.0168309980463139,0.3125520206706199,0.010256699416056,0.0124474507476408,0.0492896516497228,0.0024347798861637,0.0109252943609912,0.0037460728345596,0.0028226303744392,0.0028226303744392,0.6344122548450976,h00,1026591750036320836,GARLIC
p2,1.0,0.0105614050648778,0.0105614050648778,0.3193116352619948,0.0067948861598566,0.0082462210677871,0.0515667233925794,0.0012706272419023,0.0057015324957156,0.0037969747650462,0.0014632451793357,0.0014632451793357,0.6253246665803794,h00,1026591750036320836,GARLIC
p2,1.1,0.0068355547302057,0.0068355547302057,0.325043391349045,0.0045590249620362,0.0055327972840245,0.053526968580502,0.00065513755849,0.0029397198137374,0.0038468753600028,0.0007550757311182,0.0007550757311182,0.61758276471045,h00,1026591750036320836,GARLIC
p2,1.2,0.0045993844650228,0.0045993844650228,0.3298183361851888,0.0031088129534986,0.0037728312542459,0.0551883865679653,0.0003359570897867,0.0015074997618635,0.0038952256184787,0.0003905056295665,0.0003905056295665,0.6110980516283671,h00,1026591750036320836,GARLIC
p2,1.3,0.0032254879868884,0.0032254879868884,0.3337406528049541,0.0021562618199076,0.0026168225969752,0.0565826046405158,0.0001720099559471,0.0007718395459165,0.0039411920729298,0.0002032744014633,0.0002032744014633,0.6057355504816003,h00,1026591750036320836,GARLIC
p3,0.7,0.0493171058099524,0.0493171058099524,0.3321507987965215,0.0276513581223789,0.0308608907615835,0.0641991612602498,0.046308216393273,0.1402477410767698,0.0066532197378988,0.010501711206497,0.010501711206497,0.5969968202053297,h00,1026591750036320836,GARLIC
p3,0.8,0.030929632108501,0.030929632108501,0.3445419836367325,0.0201125776127125,0.0224470732284737,0.0678714822860231,0.0375534934735322,0.1137334373769834,0.0073394695477031,0.0057755574139454,0.0057755574139454,0.5802470645295412,h00,1026591750036320836,GARLIC
p3,0.9,0.0190239949853608,0.0190239949853608,0.3559173967997598,0.0151984760531119,0.0169625848807052,0.0712954433953533,0.0298877559988359,0.0905172038821888,0.0078981075857104,0.0030735651473251,0.0030735651473251,0.5648890522191766,h00,1026591750036320836,GARLIC
p3,1.0,0.0116761818360766,0.0116761818360766,0.3661068463476773,0.0121764900211266,0.0135898326128645,0.0744277172956784,0.0235601617763528,0.0713536328083829,0.0083443136563764,0.0016109384664067,0.0016109384664067,0.5511211227002677,h00,1026591750036320836,GARLIC
p3,1.1,0.007227060296193,0.007227060296193,0.3750649291862808,0.0103754198667946,0.0115797096727619,0.077256479238622,0.0184846900751714,0.0559822042276619,0.0087021154249902,0.000841017871498,0.000841017871498,0.5389764761501068,h00,1026591750036320836,GARLIC
p3,1.2,0.0045373261059151,0.0045373261059151,0.3828278911136071,0.0093190091517411,0.0104006798568539,0.0797912065473158,0.0144667087804567,0.0438134608779545,0.0089930996393046,0.000440377424316,0.000440377424316,0.5283878026997724,h00,1026591750036320836,GARLIC
p3,1.3,0.0028976294147849,0.0028976294147849,0.3894791866819532,0.0087049566766351,0.0097153534337445,0.0820532366586011,0.0113054474247261,0.0342393550577419,0.0092335280672149,0.0002322878293143,0.0002322878293143,0.5192340485922307,h00,1026591750036320836,GARLIC
p1,0.7,0.0904262933782252,0.0904262933782252,0.2393652851537572,0.1224660355874134,0.2727137181367865,0.0475728915434135,0.0237330786013483,0.0543703255230888,0.0087251462028128,0.0103476498284844,0.0103476498284844,0.7043366771000164,h00,103568543989312214,GARLIC
p1,0.8,0.0669185729357998,0.0669185729357998,0.2571675473947479,0.1143057857642806,0.2545420507065694,0.052642490308124,0.0161749071885251,0.0370552419228031,0.0094412010018973,0.0060097448283134,0.0060097448283134,0.6807487612952307,h00,103568543989312214,GARLIC
p1,0.9,0.0499694434104224,0.0499694434104224,0.2740683481957844,0.1066920710797,0.2375874360617393,0.0568502949373285,0.0109343398887258,0.0250495786541718,0.0101710369302275,0.0034185115764759,0.0034185115764759,0.6589103199366595,h00,103568543989312214,GARLIC
p1,1.0,0.038086992481304,0.038086992481304,0.2898018935681255,0.1000739398371441,0.2228498382484552,0.060256760790484,0.0074002114076508,0.0169532115884363,0.0108882193873851,0.0019316175576051,0.0019316175576051,0.6390531262540053,h00,103568543989312214,GARLIC
p1,1.1,0.0297718182753997,0.0297718182753997,0.3042536876962263,0.0944710800083869,0.2103730994631209,0.0629807205659758,0.005036473668373,0.011538103313,0.0115726590514426,0.0010942722367214,0.0010942722367214,0.6211929326863552,h00,103568543989312214,GARLIC
p1,1.2,0.0238672756805041,0.0238672756805041,0.3174042978423747,0.0897323063022675,0.199820552460142,0.0651516909012286,0.0034521735003631,0.0079086156553773,0.0122118112037606,0.000625319198482,0.000625319198482,0.605232200052636,h00,103568543989312214,GARLIC
p1,1.3,0.0195730611317944,0.0195730611317944,0.329292414634012,0.0856764148053144,0.1907886829692419,0.0668870980882046,0.0023832540933184,0.0054598184683295,0.0127996708117896,0.0003620302431739,0.0003620302431739,0.5910208164659937,h00,103568543989312214,GARLIC
p2,0.7,0.0654694591810643,0.0654694591810643,0.3816137870223692,0.0336678795038294,0.043386442659574,0.0553755085680739,0.0163678526966267,0.046256975012206,0.0034504299105495,0.0094449064654454,0.0094449064654454,0.5595602744990071,h00,103568543989312214,GARLIC
p2,0.8,0.0453881880886141,0.0453881880886141,0.4019245896884124,0.0258885757672026,0.0333615667103127,0.0583957576483536,0.0103234203093658,0.0291748834829905,0.0034719169759559,0.0054716627495119,0.0054716627495119,0.5362077356872781,h00,103568543989312214,GARLIC
p2,0.9,0.0314680903182707,0.0314680903182707,0.4209456325569543,0.0204855552910383,0.0263989114575236,0.0611025356713926,0.0063900140480243,0.0180587353531124,0.0034916081488689,0.0031024999065376,0.0031024999065376,0.5144602236227842,h00,103568543989312214,GARLIC
p2,1.0,0.0221250512035678,0.0221250512035678,0.4383535428108021,0.0168626873868893,0.021730267251146,0.063493699127675,0.0039273844856936,0.0110991300682645,0.0035094293068539,0.0017445524792787,0.0017445524792787,0.4946433287546689,h00,103568543989312214,GARLIC
p2,1.1,0.0159042065664194,0.0159042065664194,0.4540189527038342,0.014456232423219,0.0186291654938389,0.0655909039884449,0.0024125982664774,0.0068182124922188,0.0035245308957252,0.0009807618982064,0.0009807618982064,0.4768656124119955,h00,103568543989312214,GARLIC
p2,1.2,0.0117331707444525,0.0117331707444525,0.4679458841165523,0.0128435798364462,0.0165510049438739,0.0674256197141726,0.00148612433133,0.0041999165885414,0.0035356926869637,0.0005539651199367,0.0005539651199367,0.4610928034823113,h00,103568543989312214,GARLIC
p2,1.3,0.0088923092942217,0.0088923092942217,0.4802207622079622,0.0117381970982002,0.0151265426523198,0.0690312354529953,0.0009192099969015,0.0025977673825477,0.003541768323876,0.0003153806674068,0.0003153806674068,0.4472062340151664,h00,103568543989312214,GARLIC
