hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1342378077608740105,p3,0,0,500,0,0,52,448,0,369,97,34,0,0,0,500,0
h00,1359395911007969527,p1,0,1,499,0,16,269,215,0,378,69,53,0,0,0,500,0
h00,1359395911007969527,p2,0,0,500,0,0,88,412,0,377,89,34,0,0,0,500,0
h00,1359395911007969527,p3,0,0,500,0,0,40,460,0,337,123,40,0,0,0,500,0
h00,1364957052074976682,p1,0,0,500,0,15,240,245,0,345,72,83,0,0,0,500,0
h00,1364957052074976682,p2,0,0,500,0,0,81,419,0,369,92,39,0,0,0,500,0
h00,1364957052074976682,p3,0,0,500,0,0,55,445,0,365,93,42,0,0,0,500,0
h00,1408911269877720474,p1,0,0,500,0,17,242,241,0,390,56,54,0,0,0,500,0
h00,1408911269877720474,p2,0,0,500,0,0,112,388,0,356,94,50,0,0,0,500,0
h00,1408911269877720474,p3,0,0,500,0,0,59,441,0,336,122,42,0,0,0,500,0
h00,1445831990664690369,p1,0,2,498,0,15,255,230,0,388,65,47,0,0,0,500,0
h00,1445831990664690369,p2,0,0,500,0,0,77,423,0,318,133,49,0,0,0,500,0
h00,1445831990664690369,p3,0,0,500,0,0,41,459,0,368,83,49,0,0,0,500,0
h00,1457999149615807420,p1,0,0,500,0,18,252,230,0,379,71,50,0,0,0,500,0
h00,1457999149615807420,p2,0,0,500,0,0,74,426,0,379,83,38,0,0,0,500,0
h00,1457999149615807420,p3,0,0,500,0,0,33,467,0,330,131,39,0,0,0,500,0
h00,1463814346912061226,p1,0,1,499,0,17,239,244,0,377,74,49,0,0,0,500,0
h00,1463814346912061226,p2,0,0,500,0,0,79,421,0,341,115,44,0,0,0,500,0
h00,1463814346912061226,p3,0,0,500,0,0,20,480,0,334,94,72,0,0,0,500,0
h00,1471689743914301753,p1,0,0,500,0,25,255,220,0,366,66,68,0,0,0,500,0
h00,1471689743914301753,p2,0,0,500,0,0,68,432,0,377,79,44,0,0,0,500,0
h00,1471689743914301753,p3,0,0,500,0,0,47,453,0,353,112,35,0,0,0,500,0
h00,1496704753167729159,p1,0,0,500,0,16,223,261,0,373,44,83,0,0,0,500,0
h00,1496704753167729159,p2,0,0,500,0,0,58,442,0,395,39,66,0,0,0,500,0
h00,1496704753167729159,p3,0,0,500,0,0,35,465,0,326,58,116,0,0,0,500,0
h00,1509754406400523100,p1,0,0,500,0,12,288,200,0,372,73,55,0,0,0,500,0
h00,1509754406400523100,p2,0,0,500,0,0,82,418,0,360,96,44,0,0,0,500,0
h00,1509754406400523100,p3,0,0,500,0,0,53,447,0,317,140,43,0,0,0,500,0
h00,1513359600866312384,p1,0,0,500,0,17,228,255,0,382,62,56,0,0,0,500,0
h00,1513359600866312384,p2,0,0,500,0,0,73,427,0,363,89,48,0,0,0,500,0
h00,1513359600866312384,p3,0,0,500,0,0,38,462,0,332,132,36,0,0,0,500,0
h00,1517243854596332318,p1,0,0,500,0,9,256,235,0,361,72,67,0,0,0,500,0
h00,1517243854596332318,p2,0,0,500,0,0,77,423,0,329,129,42,0,0,0,500,0
h00,1517243854596332318,p3,0,0,500,0,0,42,458,0,374,89,37,0,0,0,500,0
h00,155683629558891336,p1,0,1,499,0,6,243,251,0,391,62,47,0,0,0,500,0
h00,155683629558891336,p2,0,0,500,0,0,71,429,0,384,78,38,0,0,0,500,0
h00,155683629558891336,p3,0,0,500,0,0,27,473,0,347,126,27,0,0,0,500,0
h00,1570311740684473341,p1,0,2,498,0,17,269,214,0,354,90,56,0,0,0,500,0
h00,1570311740684473341,p2,0,0,500,0,0,131,369,0,370,92,38,0,0,0,500,0
h00,1570311740684473341,p3,0,0,500,0,0,43,457,0,367,101,32,0,0,0,500,0
h00,1579713873460986888,p1,0,0,500,0,14,232,254,0,379,68,53,0,0,0,500,0
h00,1579713873460986888,p2,0,0,500,0,0,90,410,0,382,75,43,0,0,0,500,0
h00,1579713873460986888,p3,0,0,500,0,0,43,457,0,269,201,30,0,0,0,500,0
h00,1640035823564240350,p1,0,0,500,0,18,210,272,0,351,86,63,0,0,0,500,0
