hXX,replicate,pop,A_0,A_1,A_2,A_nan,B_0,B_1,B_2,B_nan,C_0,C_1,C_2,C_nan,NONE_0,NONE_1,NONE_2,NONE_nan
h00,1342378077608740105,p3,0,0,500,0,0,0,500,0,369,50,81,0,0,0,500,0
h00,1359395911007969527,p1,0,0,500,0,16,39,445,0,378,29,93,0,0,0,500,0
h00,1359395911007969527,p2,0,0,500,0,0,0,500,0,377,53,70,0,0,0,500,0
h00,1359395911007969527,p3,0,0,500,0,0,0,500,0,337,65,98,0,0,0,500,0
h00,1364957052074976682,p1,0,0,500,0,15,42,443,0,345,52,103,0,0,0,500,0
h00,1364957052074976682,p2,0,0,500,0,0,1,499,0,369,56,75,0,0,0,500,0
h00,1364957052074976682,p3,0,0,500,0,0,0,500,0,365,52,83,0,0,0,500,0
h00,1408911269877720474,p1,0,0,500,0,17,44,439,0,390,10,100,0,0,0,500,0
h00,1408911269877720474,p2,0,0,500,0,0,0,500,0,356,5,139,0,0,0,500,0
h00,1408911269877720474,p3,0,0,500,0,0,0,500,0,336,33,131,0,0,0,500,0
h00,1445831990664690369,p1,0,0,500,0,15,42,443,0,388,15,97,0,0,0,500,0
h00,1445831990664690369,p2,0,0,500,0,0,1,499,0,318,81,101,0,0,0,500,0
h00,1445831990664690369,p3,0,0,500,0,0,0,500,0,368,61,71,0,0,0,500,0
h00,1457999149615807420,p1,0,0,500,0,18,39,443,0,379,18,103,0,0,0,500,0
h00,1457999149615807420,p2,0,0,500,0,0,0,500,0,379,4,117,0,0,0,500,0
h00,1457999149615807420,p3,0,0,500,0,0,0,500,0,330,13,157,0,0,0,500,0
h00,1463814346912061226,p1,0,0,500,0,17,52,431,0,377,8,115,0,0,0,500,0
h00,1463814346912061226,p2,0,0,500,0,0,2,498,0,341,9,150,0,0,0,500,0
h00,1463814346912061226,p3,0,0,500,0,0,0,500,0,334,9,157,0,0,0,500,0
h00,1471689743914301753,p1,0,0,500,0,25,43,432,0,366,17,117,0,0,0,500,0
h00,1471689743914301753,p2,0,0,500,0,0,1,499,0,377,6,117,0,0,0,500,0
h00,1471689743914301753,p3,0,0,500,0,0,1,499,0,353,24,123,0,0,0,500,0
h00,1496704753167729159,p1,0,0,500,0,16,55,429,0,373,12,115,0,0,0,500,0
h00,1496704753167729159,p2,0,0,500,0,0,1,499,0,395,6,99,0,0,0,500,0
h00,1496704753167729159,p3,0,0,500,0,0,1,499,0,326,13,161,0,0,0,500,0
h00,1509754406400523100,p1,0,0,500,0,12,38,450,0,372,14,114,0,0,0,500,0
h00,1509754406400523100,p2,0,0,500,0,0,0,500,0,360,10,130,0,0,0,500,0
h00,1509754406400523100,p3,0,0,500,0,0,0,500,0,317,9,174,0,0,0,500,0
h00,1513359600866312384,p1,0,0,500,0,17,40,443,0,382,12,106,0,0,0,500,0
h00,1513359600866312384,p2,0,0,500,0,0,1,499,0,363,9,128,0,0,0,500,0
h00,1513359600866312384,p3,0,0,500,0,0,0,500,0,332,19,149,0,0,0,500,0
h00,1517243854596332318,p1,0,0,500,0,9,63,428,0,361,6,133,0,0,0,500,0
h00,1517243854596332318,p2,0,0,500,0,0,0,500,0,329,21,150,0,0,0,500,0
h00,1517243854596332318,p3,0,0,500,0,0,1,499,0,374,15,111,0,0,0,500,0
h00,155683629558891336,p1,0,0,500,0,6,51,443,0,391,2,107,0,0,0,500,0
h00,155683629558891336,p2,0,0,500,0,0,1,499,0,384,9,107,0,0,0,500,0
h00,155683629558891336,p3,0,0,500,0,0,0,500,0,347,15,138,0,0,0,500,0
h00,1570311740684473341,p1,0,0,500,0,17,40,443,0,354,11,135,0,0,0,500,0
h00,1570311740684473341,p2,0,0,500,0,0,0,500,0,370,10,120,0,0,0,500,0
h00,1570311740684473341,p3,0,0,500,0,0,0,500,0,367,24,109,0,0,0,500,0
h00,1579713873460986888,p1,0,0,500,0,14,36,450,0,379,26,95,0,0,0,500,0
h00,1579713873460986888,p2,0,0,500,0,0,1,499,0,382,48,70,0,0,0,500,0
h00,1579713873460986888,p3,0,0,500,0,0,1,499,0,269,168,63,0,0,0,500,0
h00,1640035823564240350,p1,0,0,500,0,18,45,437,0,351,14,135,0,0,0,500,0
h00,1640035823564240350,p2,0,0,500,0,0,1,499,0,377,12,111,0,0,0,500,0
h00,1640035823564240350,p3,0,0,500,0,0,0,500,0,355,12,133,0,0,0,500,0
h00,1667204476426382146,p1,0,0,500,0,12,59,429,0,386,9,105,0,0,0,500,0
